Player,Team,AGE,Athletic_Score,final_commercial_score,potential
Nikola Jokić,DEN,30.0,0.8889707122041737,0.0,0.992221356
Shai Gilgeous-Alexander,OKC,26.0,0.8869874982570862,0.0,0.997382867
Giannis Antetokounmpo,MIL,30.0,0.8274126422782339,1.0,0.992221356
Jayson Tatum,BOS,27.0,0.7598925969995967,0.003420272,0.996117333
Karl-Anthony Towns,NYK,29.0,0.7449027170923107,0.572041005,0.99354172
Anthony Edwards,MIN,23.0,0.7445636373598128,0.0,1.001148618
James Harden,LAC,35.0,0.7330563789034329,0.0,0.985057235
Cade Cunningham,DET,23.0,0.7320943951735216,0.948196073,1.001148618
Alperen Sengun,HOU,22.0,0.7276035468647029,0.0,1.002409382
Donovan Mitchell,CLE,28.0,0.7221829098201225,0.671018596,0.994838627
Stephen Curry,GSW,37.0,0.7211546489363533,0.0,0.981792453
Luka Dončić,LAL,26.0,0.7068130021834246,0.0,0.997382867
Trae Young,ATL,26.0,0.7055352550201405,0.04691431,0.997382867
Ivica Zubac,LAC,28.0,0.7005849127631273,0.0,0.994838627
Devin Booker,PHX,28.0,0.6994484103443492,0.0,0.994838627
Tyrese Haliburton,IND,25.0,0.6950156831736609,0.00035658,0.998640092
Pascal Siakam,IND,31.0,0.6934438461565671,0.33604331,0.990871967
Tyler Herro,MIA,25.0,0.6884255550898933,0.075748167,0.998640092
Franz Wagner,ORL,23.0,0.6800323032519519,0.115949398,1.001148618
Jarrett Allen,CLE,27.0,0.6794697288271455,0.028286003,0.996117333
LeBron James,LAL,40.0,0.6786206026667584,0.0,0.976219711
Jalen Brunson,NYK,28.0,0.6770010430046924,0.899075672,0.994838627
Evan Mobley,CLE,24.0,0.6759733872706626,0.071821941,0.999893768
Domantas Sabonis,SAC,29.0,0.6756241222823522,0.0,0.99354172
Bam Adebayo,MIA,27.0,0.6689354135590782,0.15129064,0.996117333
Kevin Durant,HOU,36.0,0.6671874517553498,0.0,0.983462065
Derrick White,BOS,30.0,0.6643375497943405,0.159558367,0.992221356
Jamal Murray,DEN,28.0,0.663682609566369,0.0,0.994838627
Jalen Green,PHX,23.0,0.6628535023118409,0.0,1.001148618
Darius Garland,CLE,25.0,0.6616693407321497,0.056523548,0.998640092
Jalen Williams,OKC,24.0,0.6606442093727332,0.0,0.999893768
Victor Wembanyama,SAS,21.0,0.6569436655792457,0.0,1.003680877
Austin Reaves,LAL,27.0,0.6546161616390002,0.0,0.996117333
DeMar DeRozan,SAC,35.0,0.6544484619668566,0.0,0.985057235
Jaren Jackson Jr.,MEM,25.0,0.6516612025116268,0.0,0.998640092
Jaylen Brown,BOS,28.0,0.6498956433360888,0.875478066,0.994838627
Anthony Davis,DAL,32.0,0.6453057421835862,0.0,0.989487603
Michael Porter Jr.,BKN,27.0,0.6429759239365138,0.462397958,0.996117333
Josh Hart,NYK,30.0,0.6392625238287306,0.197399635,0.992221356
Deni Avdija,POR,24.0,0.6385400564366616,0.0,0.999893768
Naz Reid,MIN,25.0,0.6377336076256422,0.0,0.998640092
Payton Pritchard,BOS,27.0,0.636977711069485,0.08652796,0.996117333
Mikal Bridges,NYK,28.0,0.6369331337133615,0.21379875,0.994838627
De'Aaron Fox,SAS,27.0,0.6360178284034341,0.0,0.996117333
Nikola Vučević,CHI,34.0,0.6340689760356873,0.0,0.98658762
Christian Braun,DEN,24.0,0.6337784734218471,0.0,0.999893768
Desmond Bane,ORL,27.0,0.632519218452646,0.039988057,0.996117333
Damian Lillard,MIL,34.0,0.6320279078789053,0.0,0.98658762
Julius Randle,MIN,30.0,0.6310986462995195,0.0,0.992221356
OG Anunoby,NYK,27.0,0.6309080649978133,0.302125322,0.996117333
Dyson Daniels,ATL,22.0,0.6265326594704325,0.00525848,1.002409382
Coby White,CHI,25.0,0.6265267447343418,0.03594789,0.998640092
Scottie Barnes,TOR,23.0,0.6245766487040113,0.363957697,1.001148618
Amen Thompson,HOU,22.0,0.6244542669475965,0.0,1.002409382
