AGE,Performance
19.0,9.4
19.0,9.9
19.0,10.3
19.0,10.4
19.0,10.4
19.0,10.4
19.0,10.6
19.0,11.3
19.0,11.6
19.0,11.7
19.0,12.0
19.0,12.5
19.0,12.6
19.0,12.7
19.0,13.5
19.0,13.6
19.0,13.7
19.0,14.2
19.0,14.2
19.0,14.3
19.0,14.4
19.0,14.7
19.0,14.9
19.0,15.0
19.0,15.0
19.0,15.1
19.0,15.2
19.0,15.2
19.0,15.4
19.0,15.5
19.0,15.7
19.0,15.8
19.0,15.9
19.0,16.1
19.0,16.3
19.0,16.4
19.0,16.5
19.0,16.5
19.0,16.8
19.0,16.9
19.0,16.9
19.0,16.9
19.0,17.1
19.0,17.2
19.0,17.3
19.0,17.8
19.0,17.9
19.0,18.1
19.0,18.2
19.0,18.3
19.0,18.4
19.0,18.5
19.0,18.5
19.0,19.0
19.0,19.0
19.0,19.0
19.0,19.1
19.0,19.1
19.0,19.4
19.0,19.4
19.0,19.4
19.0,19.6
19.0,19.6
19.0,19.7
19.0,19.7
19.0,19.8
19.0,19.8
19.0,20.3
19.0,20.3
19.0,20.3
19.0,20.5
19.0,20.5
19.0,20.5
19.0,20.9
19.0,20.9
19.0,21.1
19.0,21.2
19.0,21.4
19.0,21.5
19.0,21.6
19.0,22.0
19.0,22.2
19.0,22.3
19.0,22.7
19.0,22.8
19.0,23.0
19.0,23.1
19.0,23.5
19.0,23.7
19.0,23.8
19.0,24.0
19.0,24.1
19.0,24.2
19.0,24.2
19.0,24.3
19.0,24.4
19.0,24.9
19.0,25.7
19.0,26.1
19.0,26.5
19.0,27.0
19.0,27.1
19.0,29.0
19.0,30.5
19.0,30.5
19.0,31.3
20.0,0.0
20.0,8.9
20.0,9.1
20.0,10.4
20.0,10.5
20.0,10.6
20.0,11.0
20.0,11.0
20.0,11.0
20.0,11.5
20.0,11.7
20.0,11.8
20.0,11.8
20.0,11.9
20.0,12.0
20.0,12.0
20.0,12.0
20.0,12.0
20.0,12.1
20.0,12.4
20.0,12.5
20.0,12.6
20.0,12.7
20.0,12.7
20.0,12.9
20.0,12.9
20.0,12.9
20.0,13.0
20.0,13.0
20.0,13.0
20.0,13.1
20.0,13.3
20.0,13.4
20.0,13.5
20.0,13.6
20.0,13.6
20.0,13.6
20.0,13.7
20.0,13.7
20.0,13.8
20.0,13.8
20.0,14.1
20.0,14.1
20.0,14.2
20.0,14.2
20.0,14.3
20.0,14.3
20.0,14.3
20.0,14.6
20.0,14.6
20.0,14.6
20.0,14.7
20.0,14.7
20.0,14.8
20.0,14.8
20.0,14.8
20.0,14.9
20.0,14.9
20.0,14.9
20.0,14.9
20.0,15.0
20.0,15.0
20.0,15.0
20.0,15.1
20.0,15.3
20.0,15.4
20.0,15.4
20.0,15.4
20.0,15.4
20.0,15.4
20.0,15.6
20.0,15.7
20.0,15.7
20.0,15.7
20.0,15.8
20.0,15.8
20.0,15.9
20.0,15.9
20.0,15.9
20.0,16.1
20.0,16.2
20.0,16.4
20.0,16.5
20.0,16.6
20.0,16.6
20.0,16.6
20.0,16.8
20.0,16.9
20.0,16.9
20.0,16.9
20.0,16.9
20.0,17.0
20.0,17.1
20.0,17.1
20.0,17.1
20.0,17.2
20.0,17.2
20.0,17.2
20.0,17.2
20.0,17.3
20.0,17.3
20.0,17.3
20.0,17.3
20.0,17.4
20.0,17.4
20.0,17.4
20.0,17.4
20.0,17.4
20.0,17.4
20.0,17.6
20.0,17.6
20.0,17.6
20.0,17.7
20.0,17.7
20.0,17.8
20.0,17.8
20.0,17.8
20.0,17.8
20.0,17.8
20.0,17.8
20.0,17.9
20.0,17.9
20.0,17.9
20.0,17.9
20.0,18.1
20.0,18.1
20.0,18.1
20.0,18.1
20.0,18.2
20.0,18.2
20.0,18.3
20.0,18.4
20.0,18.4
20.0,18.4
20.0,18.4
20.0,18.4
20.0,18.5
20.0,18.5
20.0,18.6
20.0,18.7
20.0,18.7
20.0,18.8
20.0,18.9
20.0,18.9
20.0,18.9
20.0,19.0
20.0,19.0
20.0,19.1
20.0,19.2
20.0,19.2
20.0,19.3
20.0,19.3
20.0,19.4
20.0,19.5
20.0,19.5
20.0,19.6
20.0,19.6
20.0,19.8
20.0,19.8
20.0,19.9
20.0,19.9
20.0,20.0
20.0,20.0
20.0,20.1
20.0,20.1
20.0,20.3
20.0,20.3
20.0,20.3
20.0,20.4
20.0,20.4
20.0,20.5
20.0,20.5
20.0,20.7
20.0,20.7
20.0,20.8
20.0,20.8
20.0,20.9
20.0,20.9
20.0,20.9
20.0,21.1
20.0,21.1
20.0,21.2
20.0,21.2
20.0,21.2
20.0,21.2
20.0,21.3
20.0,21.3
20.0,21.4
20.0,21.4
20.0,21.6
20.0,21.7
20.0,21.7
20.0,21.7
20.0,21.7
20.0,21.9
20.0,22.0
20.0,22.0
20.0,22.1
20.0,22.1
20.0,22.1
20.0,22.1
20.0,22.1
20.0,22.2
20.0,22.2
20.0,22.3
20.0,22.3
20.0,22.4
20.0,22.4
20.0,22.4
20.0,22.5
20.0,22.5
20.0,22.5
20.0,22.6
20.0,22.7
20.0,22.7
20.0,22.8
20.0,22.8
20.0,22.8
20.0,23.0
20.0,23.2
20.0,23.4
20.0,23.4
20.0,23.5
20.0,23.5
20.0,23.8
20.0,23.9
20.0,23.9
20.0,24.0
20.0,24.0
20.0,24.3
20.0,24.6
20.0,24.6
20.0,24.6
20.0,24.6
20.0,24.7
20.0,24.7
20.0,24.9
20.0,24.9
20.0,25.0
20.0,25.2
20.0,25.3
20.0,25.4
20.0,25.4
20.0,25.8
20.0,25.9
20.0,26.0
20.0,26.0
20.0,26.1
20.0,26.4
20.0,26.4
20.0,26.6
20.0,27.2
20.0,27.3
20.0,27.5
20.0,27.5
20.0,27.6
20.0,28.1
20.0,28.2
20.0,28.4
20.0,28.6
20.0,28.9
20.0,29.1
20.0,29.8
20.0,32.2
20.0,36.6
20.0,36.8
21.0,0.0
21.0,0.0
21.0,0.0
21.0,0.0
21.0,5.3
21.0,8.0
21.0,8.0
21.0,9.1
21.0,9.9
21.0,10.2
21.0,10.3
21.0,10.5
21.0,11.3
21.0,11.6
21.0,11.7
21.0,11.7
21.0,11.9
21.0,11.9
