ID,Player,2015-2016Age,2015-2016USG%,2016-2017Age,2016-2017USG%,2017-2018Age,2017-2018USG%,2018-2019Age,2018-2019USG%,2019-2020Age,2019-2020USG%,2020-2021Age,2020-2021USG%,2021-2022Age,2021-2022USG%,2022-2023Age,2022-2023USG%,2023-2024Age,2023-2024USG%,2024-2025Age,2024-2025USG%
1,A.J. Green,,,,,,,,,,,,,,,23.0,16.6,24.0,15.2,25.0,12.6
2,A.J. Hammons,,,24.0,17.6,,,,,,,,,,,,,,,,
3,A.J. Lawson,,,,,,,,,,,,,,,22.0,21.1,23.0,20.0,24.0,20.0
4,AJ Griffin,,,,,,,,,,,,,,,19.0,17.9,20.0,17.3,,
5,AJ Johnson,,,,,,,,,,,,,,,,,,,20.0,17.4
6,Aaron Brooks,31.0,22.9,32.0,19.2,33.0,19.9,,,,,,,,,,,,,,
7,Aaron Gordon,20.0,17.3,21.0,20.1,22.0,24.7,23.0,21.8,24.0,20.7,25.0,20.7,26.0,19.7,27.0,21.1,28.0,17.8,29.0,19.0
8,Aaron Harrison,21.0,13.7,22.0,12.9,23.0,15.5,,,,,,,,,,,,,,
9,Aaron Henry,,,,,,,,,,,,,22.0,18.5,,,,,,
10,Aaron Holiday,,,,,,,22.0,21.9,23.0,18.7,24.0,19.5,25.0,18.7,26.0,13.4,27.0,16.7,28.0,16.8
11,Aaron Jackson,,,,,31.0,13.7,,,,,,,,,,,,,,
12,Aaron Nesmith,,,,,,,,,,,21.0,13.7,22.0,17.2,23.0,16.8,24.0,16.0,25.0,17.4
13,Aaron Wiggins,,,,,,,,,,,,,23.0,15.3,24.0,14.5,25.0,16.4,26.0,20.3
14,Abdel Nader,,,,,24.0,17.1,25.0,15.1,26.0,17.0,27.0,19.0,28.0,15.0,,,,,,
15,Adam Flagler,,,,,,,,,,,,,,,,,24.0,21.7,25.0,21.1
16,Adam Mokoka,,,,,,,,,21.0,12.1,22.0,18.9,,,,,,,,
17,Adama Sanogo,,,,,,,,,,,,,,,,,21.0,24.8,22.0,15.9
18,Ade Murkey,,,,,,,,,,,,,24.0,0.0,,,,,,
19,Adem Bona,,,,,,,,,,,,,,,,,,,21.0,14.3
20,Admiral Schofield,,,,,,,,,22.0,11.9,,,24.0,14.5,25.0,14.1,26.0,16.6,,
21,Adreian Payne,24.0,17.7,25.0,23.1,26.0,15.0,,,,,,,,,,,,,,
22,Ahmad Caver,,,,,,,,,,,,,25.0,42.8,,,,,,
23,Ajay Mitchell,,,,,,,,,,,,,,,,,,,22.0,16.2
24,Al Horford,29.0,20.6,30.0,19.7,31.0,18.4,32.0,18.9,33.0,17.5,34.0,21.6,35.0,14.8,36.0,11.9,37.0,12.0,38.0,13.8
25,Al Jefferson,31.0,24.2,32.0,26.1,33.0,22.6,,,,,,,,,,,,,,
26,Al-Farouq Aminu,25.0,16.9,26.0,15.4,27.0,14.8,28.0,13.7,29.0,13.2,30.0,13.6,,,,,,,,
27,Alan Anderson,33.0,15.4,34.0,13.7,,,,,,,,,,,,,,,,
28,Alan Williams,23.0,22.6,24.0,20.9,25.0,17.5,26.0,25.5,,,,,,,,,,,,
29,Alec Burks,24.0,25.9,25.0,22.7,26.0,22.5,27.0,19.0,28.0,23.8,29.0,21.3,30.0,17.7,31.0,22.8,32.0,24.4,33.0,16.5
30,Alec Peters,,,,,22.0,15.5,,,,,,,,,,,,,,
31,Aleem Ford,,,,,,,,,,,,,24.0,14.0,,,,,,
32,Aleksej Pokusevski,,,,,,,,,,,19.0,20.5,20.0,20.0,21.0,18.3,22.0,17.2,,
33,Alen Smailagić,,,,,,,,,19.0,18.2,20.0,17.6,,,,,,,,
34,Alex Caruso,,,,,23.0,12.9,24.0,19.0,25.0,13.8,26.0,14.8,27.0,13.3,28.0,11.1,29.0,14.7,30.0,15.2
35,Alex Ducas,,,,,,,,,,,,,,,,,,,24.0,11.8
36,Alex Fudge,,,,,,,,,,,,,,,,,20.0,19.2,,
37,Alex Len,22.0,20.4,23.0,17.6,24.0,17.0,25.0,22.1,26.0,18.1,27.0,16.3,28.0,17.1,29.0,14.1,30.0,11.8,31.0,10.3
38,Alex Poythress,,,23.0,16.9,24.0,12.0,25.0,14.2,,,,,,,,,,,,
39,Alex Reese,,,,,,,,,,,,,,,,,,,25.0,13.2
40,Alex Sarr,,,,,,,,,,,,,,,,,,,19.0,23.5
41,Alex Stepheson,28.0,19.8,,,,,,,,,,,,,,,,,,
42,Alexis Ajinça,27.0,20.4,28.0,17.2,,,,,,,,,,,,,,,,
43,Alfonzo McKinnie,,,,,25.0,16.0,26.0,13.9,27.0,15.2,28.0,17.8,29.0,15.3,,,,,,
44,Alize Johnson,,,,,,,22.0,13.3,23.0,15.0,24.0,19.1,25.0,14.8,26.0,15.0,,,,
45,Allen Crabbe,23.0,16.4,24.0,14.9,25.0,19.0,26.0,16.4,27.0,12.7,,,,,,,,,,
46,Allonzo Trier,,,,,,,23.0,21.5,24.0,21.4,,,,,,,,,,
47,Alondes Williams,,,,,,,,,,,,,,,23.0,17.7,24.0,29.1,25.0,21.1
48,Alonzo Gee,28.0,9.2,29.0,10.5,,,,,,,,,,,,,,,,
49,Alperen Şengün,,,,,,,,,,,,,19.0,22.0,20.0,21.4,21.0,27.0,22.0,26.2
50,Amar'e Stoudemire,33.0,17.8,,,,,,,,,,,,,,,,,,
51,Amari Bailey,,,,,,,,,,,,,,,,,19.0,21.1,,
52,Amen Thompson,,,,,,,,,,,,,,,,,21.0,18.5,22.0,17.5
53,Amida Brimah,,,,,,,,,,,26.0,19.6,,,,,,,,
54,Amile Jefferson,,,,,,,25.0,13.1,26.0,13.5,,,,,,,,,,
55,Amir Coffey,,,,,,,,,22.0,17.6,23.0,15.1,24.0,15.8,25.0,13.5,26.0,12.5,27.0,15.3
56,Amir Johnson,28.0,13.6,29.0,13.6,30.0,12.8,31.0,17.4,,,,,,,,,,,,
57,Anderson Varejão,33.0,15.0,34.0,12.6,,,,,,,38.0,25.4,,,,,,,,
58,Andre Drummond,22.0,24.1,23.0,22.4,24.0,21.2,25.0,22.9,26.0,25.9,27.0,27.6,28.0,19.0,29.0,21.0,30.0,21.3,31.0,19.1
59,Andre Iguodala,32.0,12.1,33.0,11.2,34.0,11.5,35.0,10.4,36.0,12.7,37.0,11.2,38.0,11.4,39.0,9.4,,,,
60,Andre Ingram,,,,,32.0,14.1,33.0,19.3,,,,,,,,,,,,
61,Andre Jackson Jr.,,,,,,,,,,,,,,,,,22.0,10.0,23.0,11.9
62,Andre Miller,39.0,15.4,,,,,,,,,,,,,,,,,,
63,Andre Roberson,24.0,9.1,25.0,10.1,26.0,8.6,,,28.0,16.1,29.0,11.7,,,,,,,,
64,Andrea Bargnani,30.0,23.2,,,,,,,,,,,,,,,,,,
65,Andrew Bogut,31.0,11.4,32.0,10.4,33.0,8.8,34.0,14.5,,,,,,,,,,,,
66,Andrew Funk,,,,,,,,,,,,,,,,,24.0,13.5,,
67,Andrew Goudelock,27.0,24.8,,,,,,,,,,,,,,,,,,
68,Andrew Harrison,,,22.0,16.4,23.0,19.6,24.0,16.8,,,,,,,,,,,,
69,Andrew Nembhard,,,,,,,,,,,,,,,23.0,16.1,24.0,16.0,25.0,16.3
70,Andrew Nicholson,26.0,20.4,27.0,17.0,,,,,,,,,,,,,,,,
71,Andrew White,,,,,24.0,17.3,,,,,,,,,,,,,,
72,Andrew Wiggins,20.0,27.2,21.0,29.0,22.0,23.4,23.0,24.4,24.0,27.4,25.0,23.3,26.0,23.1,27.0,21.5,28.0,20.9,29.0,24.5
73,Anfernee Simons,,,,,,,19.0,24.3,20.0,18.7,21.0,18.3,22.0,24.8,23.0,25.1,24.0,28.0,25.0,24.6
74,Ante Žižić,,,,,21.0,18.8,22.0,18.2,23.0,17.5,,,,,,,,,,
75,Anthony Bennett,22.0,19.2,23.0,19.4,,,,,,,,,,,,,,,,
76,Anthony Black,,,,,,,,,,,,,,,,,20.0,12.7,21.0,19.6
77,Anthony Brown,23.0,11.0,24.0,15.6,25.0,11.1,,,,,,,,,,,,,,
78,Anthony Davis,22.0,29.6,23.0,32.6,24.0,30.0,25.0,29.5,26.0,29.3,27.0,29.2,28.0,27.1,29.0,28.4,30.0,26.7,31.0,30.4
79,Anthony Edwards,,,,,,,,,,,19.0,27.0,20.0,26.4,21.0,29.9,22.0,32.3,23.0,31.4
80,Anthony Gill,,,,,,,,,,,28.0,14.2,29.0,14.4,30.0,12.3,31.0,18.0,32.0,12.7
81,Anthony Lamb,,,,,,,,,,,23.0,15.0,24.0,10.6,25.0,13.8,,,,
82,Anthony Morrow,30.0,16.9,31.0,16.4,,,,,,,,,,,,,,,,
83,Anthony Tolliver,30.0,12.4,31.0,13.6,32.0,14.8,33.0,12.5,34.0,11.1,35.0,9.8,,,,,,,,
84,Anton Watson,,,,,,,,,,,,,,,,,,,24.0,21.7
85,Antonio Blakeney,,,,,21.0,23.7,22.0,24.5,,,,,,,,,,,,
86,Antonio Reeves,,,,,,,,,,,,,,,,,,,24.0,18.8
87,Antonius Cleveland,,,,,23.0,11.1,,,25.0,16.9,,,,,,,,,,
88,Anžejs Pasečņiks,,,,,,,,,24.0,15.8,25.0,41.4,,,,,,,,
89,Archie Goodwin,21.0,23.2,22.0,19.8,,,,,,,,,,,,,,,,
90,Ariel Hukporti,,,,,,,,,,,,,,,,,,,22.0,11.6
91,Arinze Onuaku,,,29.0,9.4,,,,,,,,,,,,,,,,
92,Armel Traoré,,,,,,,,,,,,,,,,,,,22.0,16.4
93,Armoni Brooks,,,,,,,,,,,22.0,17.9,23.0,16.4,,,25.0,20.8,,
94,Arnoldas Kulboka,,,,,,,,,,,,,24.0,8.5,,,,,,
95,Aron Baynes,29.0,18.5,30.0,14.1,31.0,16.8,32.0,15.2,33.0,21.1,34.0,16.2,,,,,,,,
96,Arron Afflalo,30.0,17.9,31.0,14.4,32.0,12.5,,,,,,,,,,,,,,
97,Ashton Hagans,,,,,,,,,,,21.0,10.5,,,,,24.0,14.6,,
