Rank,Player,Team,AGE,RAPM_offense,RAPM_defense,USG_percent,PLUS_MINUS_value,Attendance,Performance,Athletic_Score,Salary
1,Nikola Jokić,DEN,30,5.2,-1.1,0.285,594,85.37,51.72857143,0.888970712,55224526
3,Giannis Antetokounmpo,MIL,30,4.1,-0.4,0.346,334,81.71,47.71641791,0.827412642,54126450
4,Jayson Tatum,BOS,27,0.9,-1,0.301,534,87.8,40.15277778,0.759892597,54126450
5,Karl-Anthony Towns,NYK,29,2.4,0.7,0.265,378,87.8,39.30555556,0.744902717,53142264
6,Anthony Edwards,MIN,23,1.6,0.6,0.307,291,96.34,36.44303797,0.744563637,45550512
7,James Harden,LAC,35,1.6,0.8,0.286,344,96.34,35.15189873,0.733056379,39182693
8,Cade Cunningham,DET,23,1.7,-0.4,0.323,175,85.37,38.68571429,0.732094395,46394100
9,Alperen Sengun,HOU,22,2.2,-0.5,0.259,410,92.68,33.68421053,0.727603547,33944954
10,Donovan Mitchell,CLE,28,2.3,-1,0.298,522,86.59,32.95774648,0.72218291,46394100
11,Stephen Curry,GSW,37,4.8,1.6,0.286,299,85.37,33.7,0.721154649,59606817
12,Luka Dončić,LAL,26,2.8,-0.1,0.328,344,60.98,42.62,0.706813002,45999660
13,Trae Young,ATL,26,2.2,2.1,0.285,34,92.68,35.59210526,0.705535255,43031940
14,Ivica Zubac,LAC,28,-0.3,-1.3,0.192,514,97.56,32.275,0.700584913,18102000
15,Devin Booker,PHX,28,2.1,0.1,0.285,-177,91.46,34.93333333,0.69944841,53142264
16,Tyrese Haliburton,IND,25,3.3,-0.1,0.21,222,89.02,31.83561644,0.695015683,45550512
17,Pascal Siakam,IND,31,1.2,-0.8,0.237,312,95.12,30.56410256,0.693443846,45550512
18,Tyler Herro,MIA,25,1,0.7,0.271,99,93.9,33.12987013,0.688425555,31000000
19,Franz Wagner,ORL,23,2.3,-1.8,0.306,247,73.17,33.88333333,0.680032303,38661750
20,Jarrett Allen,CLE,27,2,-0.6,0.156,514,100,25.75609756,0.679469729,20000000
21,LeBron James,LAL,40,-0.2,0.7,0.291,-54,85.37,38.28571429,0.678620603,52627153
22,Jalen Brunson,NYK,28,2.9,1.7,0.289,146,79.27,34.70769231,0.677001043,34944001
23,Evan Mobley,CLE,24,0.2,-1.4,0.226,546,86.59,31.4084507,0.675973387,46394100
24,Domantas Sabonis,SAC,29,0.2,0.3,0.213,144,85.37,37.2,0.675624122,42336000
25,Bam Adebayo,MIA,27,-0.1,-0.7,0.232,27,95.12,31.87179487,0.668935414,37096620
26,Kevin Durant,HOU,36,2.2,-0.1,0.283,-38,75.61,35.82258065,0.667187452,54708609
27,Derrick White,BOS,30,1.2,-1.6,0.195,540,92.68,25.93421053,0.66433755,26350000
28,Jamal Murray,DEN,28,3.1,1.5,0.235,331,81.71,31.13432836,0.66368261,46394100
29,Jalen Green,PHX,23,0.3,0.8,0.267,166,100,27.76829268,0.662853502,33333333
30,Darius Garland,CLE,25,0.7,1.7,0.265,499,91.46,29.02666667,0.661669341,39446090
31,Jalen Williams,OKC,24,-0.2,0.1,0.27,456,84.15,32.17391304,0.660644209,6580997
32,Victor Wembanyama,SAS,21,0.8,-3.1,0.3,102,56.1,40.63043478,0.656943666,13376880
33,Austin Reaves,LAL,27,1.6,0.5,0.23,195,89.02,29.46575342,0.654616162,13937574
34,DeMar DeRozan,SAC,35,0.6,1.4,0.244,110,93.9,30.37662338,0.654448462,24750000
35,Jaren Jackson Jr.,MEM,25,-1.7,-1.1,0.274,331,90.24,30.51351351,0.651661203,35000000
36,Jaylen Brown,BOS,28,1.6,0.8,0.282,402,76.83,31.46031746,0.649895643,53142264
37,Anthony Davis,DAL,32,-0.2,-1,0.301,25,62.2,40.94117647,0.645305742,54126450
38,Michael Porter Jr.,BKN,27,1.4,1.2,0.197,265,93.9,27.1038961,0.642975924,38333050
39,Josh Hart,NYK,30,0.3,0,0.151,203,93.9,28.94805195,0.639262524,19472240
40,Deni Avdija,POR,24,3.3,0.5,0.228,-78,87.8,26.83333333,0.638540056,14375000
41,Naz Reid,MIN,25,0.5,-1.3,0.21,340,97.56,22.7625,0.637733608,21551724
42,Payton Pritchard,BOS,27,2.1,0.5,0.186,430,97.56,21.6375,0.636977711,7232143
43,Mikal Bridges,NYK,28,-0.5,-0.9,0.192,334,100,24.32926829,0.636933134,24900000
44,De'Aaron Fox,SAS,27,1.1,-0.2,0.274,-69,75.61,33.72580645,0.636017828,37096620
45,Nikola Vučević,CHI,34,0.1,0.7,0.221,-98,89.02,31.97260274,0.634068976,21481481
46,Christian Braun,DEN,24,0.2,-1.2,0.155,480,96.34,23.72151899,0.633778473,4921797
47,Desmond Bane,ORL,27,0.9,0.1,0.227,143,84.15,29.75362319,0.632519218,36725670
48,Damian Lillard,MIL,34,0.4,-0.6,0.269,53,70.73,35.29310345,0.632027908,48787676
49,Julius Randle,MIN,30,1.3,0.4,0.246,166,84.15,28.47826087,0.631098646,30864198
50,OG Anunoby,NYK,27,0.3,-1.3,0.195,301,90.24,26.04054054,0.630908065,39568966
51,Dyson Daniels,ATL,22,1.7,-0.4,0.178,-65,92.68,26.10526316,0.626532659,7707709
52,Coby White,CHI,25,1.7,0.6,0.237,-141,90.24,27.2972973,0.626526745,12888889
53,Scottie Barnes,TOR,23,-0.1,-1.2,0.262,-130,79.27,32.36923077,0.624576649,38661750
54,Amen Thompson,HOU,22,1.1,-1.7,0.172,268,84.15,26.76811594,0.624454267,9690600
55,Zach LaVine,SAC,30,0,1.3,0.251,-70,90.24,29.87837838,0.624360817,45999660
56,Tyrese Maxey,PHI,24,2.4,0.6,0.293,-124,63.41,35.53846154,0.62221516,37958760
57,Kyrie Irving,DAL,33,2.4,-0.3,0.264,124,60.98,33.66,0.61666597,36566002
