Player,Team,final_score
Giannis Antetokounmpo,MIL,0.910488247
Cade Cunningham,DET,0.840565682
Jalen Brunson,NYK,0.78629123
Tyrese Maxey,PHI,0.772729177
Jaylen Brown,BOS,0.761009678
Donovan Mitchell,CLE,0.694737025
Karl-Anthony Towns,NYK,0.656066466
Michael Porter Jr.,BKN,0.55143871
Jalen Johnson,ATL,0.534915586
Pascal Siakam,IND,0.511578689
Scottie Barnes,TOR,0.494625873
OG Anunoby,NYK,0.465291891
Norman Powell,MIA,0.446713272
Shai Gilgeous-Alexander,OKC,0.442333067
Nikola Jokić,DEN,0.441027863
Brandon Ingram,TOR,0.435760075
LaMelo Ball,CHA,0.435642298
Mikal Bridges,NYK,0.423722217
Josh Hart,NYK,0.415844782
Derrick White,BOS,0.409364136
Bam Adebayo,MIA,0.4088144
Franz Wagner,ORL,0.398381399
Josh Giddey,CHI,0.387494413
Tyler Herro,MIA,0.381618763
Joel Embiid,PHI,0.38064164
Jayson Tatum,BOS,0.38018123
Trae Young,ATL,0.375301543
Jalen Duren,DET,0.374736999
Evan Mobley,CLE,0.373861759
Anthony Edwards,MIN,0.372709428
Alperen Sengun,HOU,0.364678311
James Harden,LAC,0.361051245
Payton Pritchard,BOS,0.360516249
Darius Garland,CLE,0.35864654
Paolo Banchero,ORL,0.356335215
Stephen Curry,GSW,0.354012096
Jarrett Allen,CLE,0.352558789
Luka Dončić,LAL,0.352481589
Ivica Zubac,LAC,0.348484466
Devin Booker,PHX,0.347919148
Tyrese Haliburton,IND,0.347213553
Domantas Sabonis,SAC,0.335630376
Desmond Bane,ORL,0.335025707
Nickeil Alexander-Walker,ATL,0.333083121
Jalen Green,PHX,0.331807434
LeBron James,LAL,0.331241404
Coby White,CHI,0.330811308
Jalen Williams,OKC,0.330287014
Jamal Murray,DEN,0.330128548
Victor Wembanyama,SAS,0.329680897
Kevin Durant,HOU,0.328076775
Austin Reaves,LAL,0.326037253
Jaren Jackson Jr.,MEM,0.325387502
DeMar DeRozan,SAC,0.322334596
Anthony Davis,DAL,0.319261016
Deni Avdija,POR,0.319236112
Naz Reid,MIN,0.318433174
Christian Braun,DEN,0.316855573
De'Aaron Fox,SAS,0.316774191
Dyson Daniels,ATL,0.316650348
Julius Randle,MIN,0.313094777
Amen Thompson,HOU,0.312979408
Nikola Vučević,CHI,0.312782301
Damian Lillard,MIL,0.311775455
Zach LaVine,SAC,0.309752068
Kyrie Irving,DAL,0.304652053
Aaron Wiggins,OKC,0.303961968
RJ Barrett,TOR,0.30369965
Myles Turner,MIL,0.303332531
Rudy Gobert,MIN,0.303326571
Malik Beasley,DET,0.302863648
Jaden McDaniels,MIN,0.30279844
Miles Bridges,CHA,0.297595851
Ja Morant,MEM,0.296290235
Stephon Castle,SAS,0.294861401
Anfernee Simons,BOS,0.293623801
Ty Jerome,CLE,0.29263901
Shaedon Sharpe,POR,0.291992784
Tobias Harris,DET,0.29070775
Malik Monk,SAC,0.289659002
Onyeka Okongwu,ATL,0.287849087
Isaiah Hartenstein,OKC,0.286934046
Brook Lopez,LAC,0.28574706
Julian Champagnie,SAS,0.285455175
Bennedict Mathurin,IND,0.285263263
Jaylen Wells,MEM,0.284008238
Jonas Valančiūnas,DEN,0.283550032
Harrison Barnes,SAS,0.282816533
Zach Edey,MEM,0.28269459
Keegan Murray,SAC,0.281964214
CJ McCollum,ATL,0.281196648
Toumani Camara,POR,0.281124109
Fred VanVleet,HOU,0.280915905
Obi Toppin,IND,0.280882569
Brandin Podziemski,GSW,0.278231208
Isaiah Joe,OKC,0.27795365
Scotty Pippen Jr.,MEM,0.277699687
Cameron Johnson,DEN,0.276904842
Kawhi Leonard,LAC,0.276881566
De'Andre Hunter,CLE,0.276863675
Paul George,PHI,0.276386646
T.J. McConnell,IND,0.275492849
Andrew Nembhard,IND,0.274849643
Kevin Porter Jr.,MIL,0.274100958
Chris Paul,LAC,0.273390457
Quentin Grimes,PHI,0.27280139
Dillon Brooks,PHX,0.271994503
Andrew Wiggins,MIA,0.271891516
Jordan Poole,NOP,0.271710549
Naji Marshall,DAL,0.27154674
Keldon Johnson,SAS,0.270973313
Buddy Hield,GSW,0.270475599
Dennis Schröder,SAC,0.27037705
Draymond Green,GSW,0.270294758
Santi Aldama,MEM,0.27014843
Luguentz Dort,OKC,0.269944558
Zion Williamson,NOP,0.269833031
Russell Westbrook,SAC,0.269222822
Collin Sexton,CHA,0.269014587
Jakob Poeltl,TOR,0.26852689
Luke Kornet,SAS,0.266694936
Goga Bitadze,ORL,0.266530159
Devin Vassell,SAS,0.266124013
Tyus Jones,ORL,0.265597121
Derrick Jones Jr.,LAC,0.265400567
Tari Eason,HOU,0.265357374
Anthony Black,ORL,0.265160198
Spencer Dinwiddie,DAL,0.265107145
Matas Buzelis,CHI,0.264909765
Miles McBride,NYK,0.264735773
Georges Niang,ATL,0.264166062
Keon Ellis,SAC,0.264103479
Zaccharie Risacher,ATL,0.2638862
Ronald Holland II,DET,0.263461368
Lauri Markkanen,UTA,0.26313721
Caris LeVert,DET,0.262905652
