player_name,team,age,PW,final_commercial_score,athletic_score,attendance_rate,salary
Nikola Jokić,DEN,30.0,0.68595273,1.0,0.888970712,85.37,55224526.0
Giannis Antetokounmpo,MIL,30.0,0.68595273,1.0,0.827412642,81.71,54126450.0
Jayson Tatum,BOS,27.0,0.748344487,0.003420272,0.759892597,87.8,54126450.0
Karl-Anthony Towns,NYK,29.0,0.707097586,0.572041005,0.744902717,87.8,53142264.0
Anthony Edwards,MIN,23.0,0.828917512,0.726600581,0.744563637,96.34,45550512.0
James Harden,LAC,35.0,0.571223619,0.383599292,0.733056379,96.34,39182693.0
Cade Cunningham,DET,23.0,0.828917512,0.948196073,0.732094395,85.37,46394100.0
Alperen Sengun,HOU,22.0,0.849107881,0.314181722,0.727603547,92.68,33944954.0
Donovan Mitchell,CLE,28.0,0.727866765,0.671018596,0.72218291,86.59,46394100.0
Stephen Curry,GSW,37.0,0.518940084,0.869595283,0.721154649,85.37,59606817.0
Luka Dončić,LAL,26.0,0.768611258,0.941874688,0.706813002,60.98,45999660.0
Trae Young,WAS,26.0,0.768611258,0.04691431,0.705535255,92.68,43031940.0
Ivica Zubac,LAC,28.0,0.727866765,0.01916986,0.700584913,97.56,18102000.0
Devin Booker,PHX,28.0,0.727866765,0.39922425,0.69944841,91.46,53142264.0
Tyrese Haliburton,IND,25.0,0.788744956,0.00035658,0.695015683,89.02,45550512.0
Pascal Siakam,IND,31.0,0.664343084,0.33604331,0.693443846,95.12,45550512.0
Tyler Herro,MIA,25.0,0.788744956,0.075748167,0.688425555,93.9,31000000.0
Franz Wagner,ORL,23.0,0.828917512,0.115949398,0.680032303,73.17,38661750.0
Jarrett Allen,CLE,27.0,0.748344487,0.028286003,0.679469729,100.0,20000000.0
LeBron James,LAL,40.0,0.429695951,0.595119554,0.678620603,85.37,52627153.0
Jalen Brunson,NYK,28.0,0.727866765,0.899075672,0.677001043,79.27,34944001.0
Evan Mobley,CLE,24.0,0.808821839,0.071821941,0.675973387,86.59,46394100.0
Domantas Sabonis,SAC,29.0,0.707097586,0.004612379,0.675624122,85.37,42336000.0
Bam Adebayo,MIA,27.0,0.748344487,0.15129064,0.668935414,95.12,37096620.0
Kevin Durant,HOU,36.0,0.545677923,0.631846819,0.667187452,75.61,54708609.0
Derrick White,BOS,30.0,0.68595273,0.159558367,0.66433755,92.68,26350000.0
