Player,Team,Offense,Defense,Total,Offense_value,Offense_percentile,Defense(*)_value,Defense(*)_percentile,Total_value,Total_percentile,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,STL,BLK,TOV,PTS,PLUS_MINUS,USG_PCT,TS_PCT,EFG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,PIE,ATTENDANCE_RATE,MPG
Shai Gilgeous-Alexander,OKC,4.6 (99),-2.1 (98),6.7 (99),4.6,99,-2.1,98,6.7,99,1628983.0,Shai Gilgeous-Alexander,OKC,26.0,76.0,2597.63,860.0,1656.0,0.519,163.0,435.0,0.375,601.0,669.0,0.898,379.0,486.0,131.0,77.0,183.0,2484.0,918.0,0.336,0.637,0.569,122.4,105.7,16.7,0.299,0.069,0.199,92.68,34.2
Nikola Jokić,DEN,5.2 (99),-1.1 (91),6.3 (99),5.2,99,-1.1,91,6.3,99,203999.0,Nikola Jokić,DEN,30.0,70.0,2570.765,786.0,1364.0,0.576,138.0,331.0,0.417,361.0,451.0,0.8,892.0,716.0,127.0,45.0,230.0,2071.0,594.0,0.285,0.663,0.627,125.6,115.1,10.5,0.398,0.173,0.206,85.37,36.7
Giannis Antetokounmpo,MIL,4.1 (99),-0.4 (75),4.5 (99),4.1,99,-0.4,75,4.5,99,203507.0,Giannis Antetokounmpo,MIL,30.0,67.0,2288.63,793.0,1319.0,0.601,14.0,63.0,0.222,436.0,707.0,0.617,798.0,433.0,58.0,78.0,206.0,2036.0,334.0,0.346,0.625,0.607,118.9,111.7,7.2,0.339,0.172,0.21,81.71,34.2
Hugo González,BOS,2.5 (97),-2.0 (98),4.5 (99),2.5,97,-2.0,98,4.5,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franz Wagner,ORL,2.3 (97),-1.8 (97),4.1 (99),2.3,97,-1.8,97,4.1,99,1630532.0,Franz Wagner,ORL,23.0,60.0,2023.3066666666666,537.0,1161.0,0.463,104.0,352.0,0.295,271.0,311.0,0.871,342.0,284.0,75.0,21.0,138.0,1449.0,247.0,0.306,0.558,0.507,111.8,105.8,6.0,0.247,0.085,0.153,73.17,33.7
Steven Adams,HOU,1.7 (93),-2.3 (98),4.0 (99),1.7,93,-2.3,98,4.0,99,203500.0,Steven Adams,HOU,31.0,58.0,794.0666666666667,91.0,167.0,0.545,0.0,2.0,0.0,43.0,93.0,0.462,327.0,66.0,22.0,28.0,54.0,225.0,172.0,0.127,0.541,0.545,115.3,105.9,9.4,0.107,0.187,0.109,70.73,13.7
Victor Wembanyama,SAS,0.8 (86),-3.1 (99),3.9 (98),0.8,86,-3.1,99,3.9,98,1641705.0,Victor Wembanyama,SAS,21.0,46.0,1527.2533333333333,408.0,857.0,0.476,142.0,403.0,0.352,158.0,189.0,0.836,506.0,168.0,52.0,176.0,149.0,1116.0,102.0,0.3,0.594,0.559,112.5,110.0,2.6,0.184,0.159,0.168,56.1,33.2
Zach Edey,MEM,2.3 (96),-1.6 (96),3.9 (98),2.3,96,-1.6,96,3.9,98,1641744.0,Zach Edey,MEM,23.0,66.0,1415.765,251.0,433.0,0.58,18.0,52.0,0.346,90.0,127.0,0.709,548.0,65.0,36.0,85.0,88.0,610.0,164.0,0.156,0.624,0.6,116.8,111.5,5.3,0.059,0.179,0.111,80.49,21.5
De'Anthony Melton,GSW,2.5 (98),-1.2 (93),3.7 (98),2.5,98,-1.2,93,3.7,98,1629001.0,De'Anthony Melton,BKN,27.0,6.0,120.98333333333333,22.0,54.0,0.407,13.0,35.0,0.371,5.0,8.0,0.625,20.0,17.0,7.0,2.0,10.0,62.0,27.0,0.223,0.539,0.528,108.3,97.4,10.9,0.205,0.075,0.091,7.32,20.2
Ajay Mitchell,OKC,0.3 (76),-3.4 (99),3.7 (98),0.3,76,-3.4,99,3.7,98,1642349.0,Ajay Mitchell,OKC,23.0,36.0,596.955,91.0,184.0,0.495,23.0,60.0,0.383,29.0,35.0,0.829,68.0,64.0,25.0,4.0,29.0,234.0,127.0,0.159,0.587,0.557,110.0,100.2,9.7,0.153,0.053,0.082,43.9,16.6
