Rank,Player,Team,AGE,RAPM_offense,RAPM_defense,USG_percent,PLUS_MINUS_value,Attendance,Performance,Athletic_Score
5,Karl-Anthony Towns,NYK,29.0,2.4,0.7,0.265,378.0,87.8,39.30555555555556,0.7449027170923107
22,Jalen Brunson,NYK,28.0,2.9,1.7,0.289,146.0,79.27,34.707692307692305,0.6770010430046924
39,Josh Hart,NYK,30.0,0.3,-0.0,0.151,203.0,93.9,28.948051948051948,0.6392625238287306
43,Mikal Bridges,NYK,28.0,-0.5,-0.9,0.192,334.0,100.0,24.32926829268293,0.6369331337133615
50,OG Anunoby,NYK,27.0,0.3,-1.3,0.195,301.0,90.24,26.04054054054054,0.6309080649978133
124,Miles McBride,NYK,24.0,2.1,-0.9,0.162,211.0,78.05,15.65625,0.5294824931577777
128,Guerschon Yabusele,NYK,29.0,0.9,0.9,0.163,-118.0,85.37,18.65714285714286,0.5263793330724404
184,Cameron Payne,NYK,30.0,-0.7,-0.3,0.2,204.0,87.8,11.25,0.4951671058870321
281,Jordan Clarkson,NYK,33.0,-1.5,0.6,0.269,-204.0,45.12,21.89189189189189,0.4125684595539058
314,Landry Shamet,NYK,28.0,-0.3,-0.3,0.143,88.0,60.98,7.54,0.3753036989498254
366,Tosan Evbuomwan,NYK,24.0,-1.7,-0.2,0.183,-66.0,34.15,15.607142857142858,0.3302332890699256
385,Delon Wright,NYK,33.0,-1.7,-1.0,0.111,1.0,48.78,7.325,0.3134479291204828
387,Tyler Kolek,NYK,24.0,-0.9,-0.9,0.152,-1.0,50.0,4.2926829268292686,0.3126558429201243
414,Mitchell Robinson,NYK,27.0,0.4,-0.4,0.109,23.0,20.73,13.235294117647058,0.2918337111601944
419,MarJon Beauchamp,NYK,24.0,-1.3,-0.2,0.222,9.0,42.68,3.5428571428571427,0.2880405847579476
421,Trey Jemison III,NYK,25.0,-1.6,0.3,0.121,-18.0,46.34,5.684210526315789,0.2867191659189851
489,Ariel Hukporti,NYK,23.0,-2.4,-0.1,0.113,-63.0,30.49,4.2,0.2167931041074911
496,Matt Ryan,NYK,28.0,-1.7,-0.6,0.208,-40.0,23.17,2.0,0.210226649902318
521,Anton Watson,NYK,24.0,-0.3,0.3,0.193,-9.0,10.98,1.3333333333333333,0.1780565219939793
546,Kevin McCullar Jr.,NYK,24.0,-1.7,0.6,0.118,-2.0,4.88,4.5,0.1483132400083034
547,P.J. Tucker,NYK,40.0,-1.4,0.7,0.059,-22.0,3.66,6.0,0.1462208120588819
577,Pacome Dadiet,NYK,,-0.0,0.4,,,,,0.0748343261037013
626,Mohamed Diawara,NYK,,-1.2,0.6,,,,,0.0581914505407687
