Player,Team,RAPM_offense,RAPM_defense,USG_percent,PLUS_MINUS_value,Attendance,Performance
Shai Gilgeous-Alexander,OKC,4.6,-2.1,0.336,918.0,92.68,44.39473684210526
Nikola Jokić,DEN,5.2,-1.1,0.285,594.0,85.37,51.72857142857143
Giannis Antetokounmpo,MIL,4.1,-0.4,0.346,334.0,81.71,47.71641791044776
Hugo González,BOS,2.5,-2.0,,,,
Franz Wagner,ORL,2.3,-1.8,0.306,247.0,73.17,33.88333333333333
Steven Adams,HOU,1.7,-2.3,0.127,172.0,70.73,10.586206896551724
Victor Wembanyama,SAS,0.8,-3.1,0.3,102.0,56.1,40.630434782608695
Zach Edey,MEM,2.3,-1.6,0.156,164.0,80.49,19.03030303030303
De'Anthony Melton,GSW,2.5,-1.2,0.223,27.0,7.32,16.333333333333332
Ajay Mitchell,OKC,0.3,-3.4,0.159,127.0,43.9,10.166666666666666
Dereck Lively II,DAL,2.3,-1.3,0.132,121.0,43.9,19.555555555555557
Tyrese Haliburton,IND,3.3,-0.1,0.21,222.0,89.02,31.835616438356166
Donovan Mitchell,CLE,2.3,-1.0,0.298,522.0,86.59,32.95774647887324
Chet Holmgren,OKC,1.3,-1.9,0.214,294.0,39.02,26.15625
Kawhi Leonard,LAC,2.0,-1.2,0.28,296.0,45.12,30.675675675675677
Stephen Curry,GSW,4.8,1.6,0.286,299.0,85.37,33.7
Miles McBride,NYK,2.1,-0.9,0.162,211.0,78.05,15.65625
Norman Powell,MIA,1.6,-1.4,0.255,352.0,73.17,26.583333333333332
Lauri Markkanen,UTA,2.1,-0.8,0.231,-186.0,57.32,26.04255319148936
Luka Dončić,LAL,2.8,-0.1,0.328,344.0,60.98,42.62
Alex Caruso,OKC,-0.3,-3.1,0.147,321.0,65.85,14.037037037037036
Jimmy Butler,GSW,2.1,-0.7,,,,
Deni Avdija,POR,3.3,0.5,0.228,-78.0,87.8,26.833333333333332
Derrick White,BOS,1.2,-1.6,0.195,540.0,92.68,25.93421052631579
Amen Thompson,HOU,1.1,-1.7,0.172,268.0,84.15,26.768115942028984
Alperen Sengun,HOU,2.2,-0.5,0.259,410.0,92.68,33.68421052631579
Ty Jerome,CLE,2.6,-0.1,0.229,302.0,85.37,18.242857142857144
Kyrie Irving,DAL,2.4,-0.3,0.264,124.0,60.98,33.66
Rudy Gobert,MIN,-0.6,-3.3,0.129,327.0,87.8,25.680555555555557
Herbert Jones,NOP,0.3,-2.4,0.146,-20.0,24.39,17.95
Jarrett Allen,CLE,2.0,-0.6,0.156,514.0,100.0,25.75609756097561
Dorian Finney-Smith,HOU,1.0,-1.6,0.123,309.0,76.83,14.46031746031746
Aaron Wiggins,OKC,2.2,-0.3,0.2,514.0,92.68,17.789473684210527
Brandin Podziemski,GSW,0.4,-2.1,0.177,261.0,78.05,20.296875
Kevin Durant,HOU,2.2,-0.1,0.283,-38.0,75.61,35.82258064516129
Isaiah Hartenstein,OKC,0.9,-1.4,0.165,417.0,69.51,25.964912280701753
Fred VanVleet,HOU,1.1,-1.2,0.176,264.0,73.17,23.833333333333332
AJ Green,MIL,0.8,-1.5,0.123,227.0,89.02,11.32876712328767
Collin Gillespie,PHX,1.4,-0.9,0.17,-29.0,40.24,10.878787878787879
Dean Wade,CLE,0.5,-1.7,0.101,284.0,71.95,11.610169491525424
Jaylin Williams,OKC,0.2,-1.9,0.141,302.0,57.32,14.382978723404255
Cade Cunningham,DET,1.7,-0.4,0.323,175.0,85.37,38.68571428571428
Dyson Daniels,ATL,1.7,-0.4,0.178,-65.0,92.68,26.105263157894736
Moussa Diabate,CHA,1.6,-0.5,,,,
Ronald Holland II,DET,-0.2,-2.3,0.177,-55.0,98.78,10.074074074074074
Luke Kornet,SAS,0.5,-1.5,0.111,401.0,89.02,14.0
Tari Eason,HOU,1.1,-0.9,0.185,145.0,69.51,21.280701754385966
Pascal Siakam,IND,1.2,-0.8,0.237,312.0,95.12,30.564102564102566
Devin Booker,PHX,2.1,0.1,0.285,-177.0,91.46,34.93333333333333
Daniss Jenkins,DET,1.0,-1.0,0.231,-9.0,8.54,1.5714285714285714
Dylan Harper,SAS,0.5,-1.5,,,,
Cameron Johnson,DEN,2.1,0.2,0.224,-200.0,69.51,26.140350877192983
Luka Garza,BOS,1.6,-0.3,0.241,1.0,47.56,5.128205128205129
Jayson Tatum,BOS,0.9,-1.0,0.301,534.0,87.8,40.15277777777778
Julian Champagnie,SAS,1.9,0.0,0.164,-67.0,100.0,15.439024390243903
Naz Reid,MIN,0.5,-1.3,0.21,340.0,97.56,22.7625
Brandon Clarke,MEM,0.9,-0.9,0.15,181.0,78.05,15.203125
Tyrese Maxey,PHI,2.4,0.6,0.293,-124.0,63.41,35.53846153846154
Jalen Smith,CHI,2.0,0.3,0.201,-36.0,78.05,15.15625
Karl-Anthony Towns,NYK,2.4,0.7,0.265,378.0,87.8,39.30555555555556
Goga Bitadze,ORL,1.0,-0.7,0.142,80.0,85.37,16.814285714285713
Oso Ighodaro,PHX,-0.1,-1.8,0.103,-21.0,74.39,9.278688524590164
Kon Knueppel,CHA,2.0,0.3,,,,
Jamal Murray,DEN,3.1,1.5,0.235,331.0,81.71,31.134328358208954
Vince Williams Jr.,MEM,0.8,-0.8,0.166,6.0,32.93,11.777777777777779
LaMelo Ball,CHA,3.1,1.5,0.342,-130.0,57.32,35.361702127659576
Payton Pritchard,BOS,2.1,0.5,0.186,430.0,97.56,21.6375
Davion Mitchell,MIA,0.5,-1.1,0.135,-3.0,90.24,14.567567567567568
OG Anunoby,NYK,0.3,-1.3,0.195,301.0,90.24,26.04054054054054
Neemias Queta,BOS,0.4,-1.2,0.136,155.0,75.61,9.85483870967742
Evan Mobley,CLE,0.2,-1.4,0.226,546.0,86.59,31.408450704225352
Jordan Goodwin,PHX,0.2,-1.4,0.134,-11.0,35.37,11.379310344827585
Marcus Smart,LAL,0.4,-1.1,0.198,42.0,41.46,14.117647058823529
D'Angelo Russell,DAL,0.5,-1.0,0.228,0.0,70.73,20.03448275862069
Jalen Suggs,ORL,-0.5,-2.0,0.268,3.0,42.68,23.4
Kenrich Williams,OKC,0.9,-0.6,0.151,329.0,84.15,11.420289855072463
Aaron Gordon,DEN,-0.5,-1.9,0.186,301.0,62.2,22.019607843137255
Christian Braun,DEN,0.2,-1.2,0.155,480.0,96.34,23.72151898734177
Joel Embiid,PHI,0.5,-0.9,0.342,-57.0,23.17,34.8421052631579
