Player,Team,RAPM_offense_normalized,USG_percent_normalized,PLUS_MINUS_value_normalized,Attendance_normalized,Performance_normalized,RAPM_defense_normalized
Shai Gilgeous-Alexander,OKC,0.9340659340659341,0.7384615384615385,1.0,0.9258959303502734,0.8582246834983066,0.8194444444444445
Nikola Jokić,DEN,1.0,0.6263736263736263,0.7847176079734219,0.8518930957683742,1.0,0.6805555555555557
Giannis Antetokounmpo,MIL,0.8791208791208791,0.7604395604395604,0.6119601328903654,0.8148410609435107,0.9224383467913126,0.5833333333333334
Hugo González,BOS,0.7032967032967034,,,,,0.8055555555555556
Franz Wagner,ORL,0.6813186813186812,0.6725274725274725,0.5541528239202658,0.7283863130188297,0.6550216330663721,0.7777777777777778
Steven Adams,HOU,0.6153846153846154,0.27912087912087913,0.5043189368770764,0.7036849564689209,0.20464912531306842,0.8472222222222222
Victor Wembanyama,SAS,0.5164835164835165,0.6593406593406593,0.4578073089700997,0.5555780522372951,0.7854544144663377,0.9583333333333335
Zach Edey,MEM,0.6813186813186812,0.34285714285714286,0.49900332225913624,0.8024903826685563,0.36788765869130413,0.7500000000000001
De'Anthony Melton,GSW,0.7032967032967034,0.4901098901098901,0.4079734219269103,0.061753391374772225,0.31575071343091227,0.6944444444444445
Ajay Mitchell,OKC,0.46153846153846156,0.34945054945054943,0.4744186046511628,0.43207126948775054,0.1965387093804658,1.0
Dereck Lively II,DAL,0.6813186813186812,0.29010989010989013,0.47043189368770766,0.43207126948775054,0.37804167050231685,0.7083333333333334
Tyrese Haliburton,IND,0.7912087912087912,0.4615384615384615,0.5375415282392026,0.88884389552541,0.6154358328320718,0.5416666666666667
Donovan Mitchell,CLE,0.6813186813186812,0.654945054945055,0.7368770764119601,0.8642437740433286,0.6371284875783283,0.6666666666666667
Chet Holmgren,OKC,0.5714285714285715,0.4703296703296703,0.5853820598006645,0.38266855638793285,0.5056441590720795,0.7916666666666666
Kawhi Leonard,LAC,0.6483516483516484,0.6153846153846154,0.5867109634551495,0.444421947762705,0.5930122334430538,0.6944444444444445
Stephen Curry,GSW,0.956043956043956,0.6285714285714284,0.588704318936877,0.8518930957683742,0.651477492405413,0.3055555555555555
Miles McBride,NYK,0.6593406593406593,0.35604395604395606,0.5302325581395348,0.7777890261186474,0.3026615575807788,0.6527777777777779
Norman Powell,MIA,0.6043956043956045,0.5604395604395604,0.6239202657807309,0.7283863130188297,0.5139003958390868,0.7222222222222222
Lauri Markkanen,UTA,0.6593406593406593,0.5076923076923077,0.2664451827242525,0.5679287305122495,0.5034462091699131,0.638888888888889
Luka Dončić,LAL,0.7362637362637362,0.7208791208791209,0.6186046511627907,0.6049807653371128,0.823916045291356,0.5416666666666667
Alex Caruso,OKC,0.39560439560439564,0.32307692307692304,0.6033222591362126,0.654282243369103,0.27135945666738265,0.9583333333333335
Jimmy Butler,GSW,0.6593406593406593,,,,,0.6250000000000001
Deni Avdija,POR,0.7912087912087912,0.5010989010989011,0.3382059800664452,0.8764932172504555,0.518733314922213,0.45833333333333337
Derrick White,BOS,0.5604395604395604,0.42857142857142855,0.7488372093023256,0.9258959303502734,0.5013517638337767,0.7500000000000001
Amen Thompson,HOU,0.5494505494505495,0.37802197802197796,0.5681063122923588,0.8395424174934197,0.5174725534222671,0.763888888888889
Alperen Sengun,HOU,0.6703296703296703,0.5692307692307692,0.6624584717607973,0.9258959303502734,0.6511722554106891,0.5972222222222222
Ty Jerome,CLE,0.7142857142857143,0.5032967032967033,0.5906976744186047,0.8518930957683742,0.3526650096658382,0.5416666666666667
Kyrie Irving,DAL,0.6923076923076923,0.5802197802197803,0.47242524916943524,0.6049807653371128,0.6507042253521126,0.5694444444444444
Rudy Gobert,MIN,0.3626373626373626,0.2835164835164835,0.6073089700996678,0.8764932172504555,0.49644818803890894,0.9861111111111112
Herbert Jones,NOP,0.46153846153846156,0.32087912087912085,0.3767441860465116,0.23456165215630695,0.3470035901684617,0.861111111111111
Jarrett Allen,CLE,0.6483516483516484,0.34285714285714286,0.7315614617940199,1.0,0.49790854163719767,0.611111111111111
Dorian Finney-Smith,HOU,0.5384615384615385,0.2703296703296703,0.5953488372093023,0.765438347843693,0.27954217680812543,0.7500000000000001
Aaron Wiggins,OKC,0.6703296703296703,0.43956043956043955,0.7315614617940199,0.9258959303502734,0.34390034738877023,0.5694444444444444
Brandin Podziemski,GSW,0.4725274725274725,0.38901098901098896,0.5634551495016611,0.7777890261186474,0.392372618061309,0.8194444444444445
Kevin Durant,HOU,0.6703296703296703,0.6219780219780219,0.3647840531561462,0.7530876695687386,0.6925105344273101,0.5416666666666667
Isaiah Hartenstein,OKC,0.5274725274725275,0.3626373626373626,0.667109634551495,0.6913342781939664,0.5019452802124063,0.7222222222222222
Fred VanVleet,HOU,0.5494505494505495,0.38681318681318677,0.5654485049833887,0.7283863130188297,0.46073828592469845,0.6944444444444445
