Rank,Player,Team,AGE,RAPM_offense,RAPM_defense,USG_percent,PLUS_MINUS_value,Attendance,Performance,Athletic_Score
1,Nikola Jokić,DEN,30.0,5.2,-1.1,0.285,594.0,85.37,51.72857142857143,0.8889707122041737
2,Shai Gilgeous-Alexander,OKC,26.0,4.6,-2.1,0.336,918.0,92.68,44.39473684210526,0.8869874982570862
3,Giannis Antetokounmpo,MIL,30.0,4.1,-0.4,0.346,334.0,81.71,47.71641791044776,0.8274126422782339
4,Jayson Tatum,BOS,27.0,0.9,-1.0,0.301,534.0,87.8,40.15277777777778,0.7598925969995967
5,Karl-Anthony Towns,NYK,29.0,2.4,0.7,0.265,378.0,87.8,39.30555555555556,0.7449027170923107
6,Anthony Edwards,MIN,23.0,1.6,0.6,0.307,291.0,96.34,36.44303797468354,0.7445636373598128
7,James Harden,LAC,35.0,1.6,0.8,0.286,344.0,96.34,35.151898734177216,0.7330563789034329
8,Cade Cunningham,DET,23.0,1.7,-0.4,0.323,175.0,85.37,38.68571428571428,0.7320943951735216
9,Alperen Sengun,HOU,22.0,2.2,-0.5,0.259,410.0,92.68,33.68421052631579,0.7276035468647029
10,Donovan Mitchell,CLE,28.0,2.3,-1.0,0.298,522.0,86.59,32.95774647887324,0.7221829098201225
11,Stephen Curry,GSW,37.0,4.8,1.6,0.286,299.0,85.37,33.7,0.7211546489363533
12,Luka Dončić,LAL,26.0,2.8,-0.1,0.328,344.0,60.98,42.62,0.7068130021834246
13,Trae Young,ATL,26.0,2.2,2.1,0.285,34.0,92.68,35.5921052631579,0.7055352550201405
14,Ivica Zubac,LAC,28.0,-0.3,-1.3,0.192,514.0,97.56,32.275,0.7005849127631273
15,Devin Booker,PHX,28.0,2.1,0.1,0.285,-177.0,91.46,34.93333333333333,0.6994484103443492
16,Tyrese Haliburton,IND,25.0,3.3,-0.1,0.21,222.0,89.02,31.83561643835617,0.6950156831736609
17,Pascal Siakam,IND,31.0,1.2,-0.8,0.237,312.0,95.12,30.56410256410257,0.6934438461565671
18,Tyler Herro,MIA,25.0,1.0,0.7,0.271,99.0,93.9,33.12987012987013,0.6884255550898933
19,Franz Wagner,ORL,23.0,2.3,-1.8,0.306,247.0,73.17,33.88333333333333,0.6800323032519519
20,Jarrett Allen,CLE,27.0,2.0,-0.6,0.156,514.0,100.0,25.75609756097561,0.6794697288271455
21,LeBron James,LAL,40.0,-0.2,0.7,0.291,-54.0,85.37,38.285714285714285,0.6786206026667584
22,Jalen Brunson,NYK,28.0,2.9,1.7,0.289,146.0,79.27,34.707692307692305,0.6770010430046924
23,Evan Mobley,CLE,24.0,0.2,-1.4,0.226,546.0,86.59,31.408450704225352,0.6759733872706626
24,Domantas Sabonis,SAC,29.0,0.2,0.3,0.213,144.0,85.37,37.2,0.6756241222823522
25,Bam Adebayo,MIA,27.0,-0.1,-0.7,0.232,27.0,95.12,31.871794871794872,0.6689354135590782
26,Kevin Durant,HOU,36.0,2.2,-0.1,0.283,-38.0,75.61,35.82258064516129,0.6671874517553498
27,Derrick White,BOS,30.0,1.2,-1.6,0.195,540.0,92.68,25.93421052631579,0.6643375497943405
28,Jamal Murray,DEN,28.0,3.1,1.5,0.235,331.0,81.71,31.134328358208958,0.663682609566369
29,Jalen Green,PHX,23.0,0.3,0.8,0.267,166.0,100.0,27.76829268292683,0.6628535023118409
30,Darius Garland,CLE,25.0,0.7,1.7,0.265,499.0,91.46,29.026666666666667,0.6616693407321497
31,Jalen Williams,OKC,24.0,-0.2,0.1,0.27,456.0,84.15,32.17391304347826,0.6606442093727332
32,Victor Wembanyama,SAS,21.0,0.8,-3.1,0.3,102.0,56.1,40.630434782608695,0.6569436655792457
33,Austin Reaves,LAL,27.0,1.6,0.5,0.23,195.0,89.02,29.46575342465753,0.6546161616390002
34,DeMar DeRozan,SAC,35.0,0.6,1.4,0.244,110.0,93.9,30.376623376623375,0.6544484619668566
35,Jaren Jackson Jr.,MEM,25.0,-1.7,-1.1,0.274,331.0,90.24,30.513513513513512,0.6516612025116268
36,Jaylen Brown,BOS,28.0,1.6,0.8,0.282,402.0,76.83,31.46031746031746,0.6498956433360888
37,Anthony Davis,DAL,32.0,-0.2,-1.0,0.301,25.0,62.2,40.94117647058823,0.6453057421835862
38,Michael Porter Jr.,BKN,27.0,1.4,1.2,0.197,265.0,93.9,27.103896103896105,0.6429759239365138
39,Josh Hart,NYK,30.0,0.3,-0.0,0.151,203.0,93.9,28.948051948051948,0.6392625238287306
40,Deni Avdija,POR,24.0,3.3,0.5,0.228,-78.0,87.8,26.83333333333333,0.6385400564366616
41,Naz Reid,MIN,25.0,0.5,-1.3,0.21,340.0,97.56,22.7625,0.6377336076256422
42,Payton Pritchard,BOS,27.0,2.1,0.5,0.186,430.0,97.56,21.6375,0.636977711069485
43,Mikal Bridges,NYK,28.0,-0.5,-0.9,0.192,334.0,100.0,24.32926829268293,0.6369331337133615
44,De'Aaron Fox,SAS,27.0,1.1,-0.2,0.274,-69.0,75.61,33.725806451612904,0.6360178284034341
45,Nikola Vučević,CHI,34.0,0.1,0.7,0.221,-98.0,89.02,31.972602739726028,0.6340689760356873
46,Christian Braun,DEN,24.0,0.2,-1.2,0.155,480.0,96.34,23.72151898734177,0.6337784734218471
47,Desmond Bane,ORL,27.0,0.9,0.1,0.227,143.0,84.15,29.7536231884058,0.632519218452646
48,Damian Lillard,MIL,34.0,0.4,-0.6,0.269,53.0,70.73,35.293103448275865,0.6320279078789053
49,Julius Randle,MIN,30.0,1.3,0.4,0.246,166.0,84.15,28.47826086956522,0.6310986462995195
50,OG Anunoby,NYK,27.0,0.3,-1.3,0.195,301.0,90.24,26.04054054054054,0.6309080649978133
51,Dyson Daniels,ATL,22.0,1.7,-0.4,0.178,-65.0,92.68,26.105263157894736,0.6265326594704325
52,Coby White,CHI,25.0,1.7,0.6,0.237,-141.0,90.24,27.2972972972973,0.6265267447343418
53,Scottie Barnes,TOR,23.0,-0.1,-1.2,0.262,-130.0,79.27,32.36923076923077,0.6245766487040113
54,Amen Thompson,HOU,22.0,1.1,-1.7,0.172,268.0,84.15,26.768115942028984,0.6244542669475965
55,Zach LaVine,SAC,30.0,0.0,1.3,0.251,-70.0,90.24,29.87837837837838,0.6243608174251204
56,Tyrese Maxey,PHI,24.0,2.4,0.6,0.293,-124.0,63.41,35.53846153846154,0.6222151597380052
57,Kyrie Irving,DAL,33.0,2.4,-0.3,0.264,124.0,60.98,33.66,0.6166659700187123
58,Jalen Duren,DET,21.0,1.2,0.5,0.161,36.0,95.12,24.884615384615383,0.6147642875125551
59,Rudy Gobert,MIN,33.0,-0.6,-3.3,0.129,327.0,87.8,25.68055555555556,0.6139829762831596
60,Norman Powell,MIA,32.0,1.6,-1.4,0.255,352.0,73.17,26.58333333333333,0.6134024707789625
61,LaMelo Ball,CHA,23.0,3.1,1.5,0.342,-130.0,57.32,35.361702127659576,0.6130233666246075
62,Myles Turner,MIL,29.0,0.9,-0.2,0.207,202.0,87.8,24.68055555555556,0.6099469816563203
63,Aaron Wiggins,OKC,26.0,2.2,-0.3,0.2,514.0,92.68,17.789473684210527,0.6095191288905449
64,Malik Beasley,DET,28.0,-0.2,-0.8,0.215,175.0,100.0,20.536585365853657,0.608869899976666
65,Jaden McDaniels,MIN,24.0,0.1,-0.8,0.16,172.0,100.0,21.0,0.6056612200735849
66,Josh Giddey,CHI,22.0,0.6,1.0,0.214,-68.0,85.37,28.82857142857143,0.6052527685717277
67,Ja Morant,MEM,25.0,-0.2,-0.9,0.312,226.0,60.98,32.32,0.5933874225837231
68,RJ Barrett,TOR,25.0,1.0,0.7,0.281,-139.0,70.73,31.03448275862069,0.5916051281184582
69,Ty Jerome,CLE,27.0,2.6,-0.1,0.229,302.0,85.37,18.242857142857144,0.5875593166126298
70,Stephon Castle,SAS,20.0,-0.5,-0.1,0.253,-239.0,98.78,21.45679012345679,0.5868075067910854
71,Miles Bridges,CHA,27.0,-0.4,0.9,0.273,-259.0,78.05,30.96875,0.5863449350281497
72,Tobias Harris,DET,32.0,-0.3,-1.1,0.173,187.0,89.02,22.493150684931507,0.582945596398478
73,Shaedon Sharpe,POR,22.0,-0.3,0.1,0.25,-138.0,87.8,24.791666666666668,0.5825819058482818
74,Paolo Banchero,ORL,22.0,-0.2,1.2,0.33,-21.0,56.1,36.58695652173913,0.5822978977752382
75,Brook Lopez,LAC,37.0,-1.1,-0.8,0.157,134.0,97.56,21.2375,0.5820925986673201
76,Malik Monk,SAC,27.0,0.7,0.7,0.236,116.0,79.27,25.6,0.5815760709681248
77,Isaiah Hartenstein,OKC,27.0,0.9,-1.4,0.165,417.0,69.51,25.964912280701757,0.5761049145898818
78,Jonas Valančiūnas,DEN,33.0,0.6,0.6,0.222,-304.0,98.78,19.71604938271605,0.5739520013262238
79,Harrison Barnes,SAS,33.0,1.4,1.3,0.157,-25.0,100.0,17.804878048780488,0.5724672782770965
80,Onyeka Okongwu,ATL,24.0,-1.4,0.4,0.169,40.0,90.24,25.17567567567568,0.5715169208152951
81,Julian Champagnie,SAS,24.0,1.9,0.0,0.164,-67.0,100.0,15.439024390243905,0.5709710057430755
82,Fred VanVleet,HOU,31.0,1.1,-1.2,0.176,264.0,73.17,23.83333333333333,0.5670074725956761
83,Nickeil Alexander-Walker,ATL,26.0,0.2,-0.2,0.155,270.0,100.0,15.195121951219512,0.5661417535581936
