AGE,T,Normalized_T
15,1.011831658,1
16,1.0103817,0.976779792
17,1.008976898,0.954282726
18,1.00761045,0.932399877
19,1.006276105,0.911031151
20,1.004968062,0.890083625
21,1.003680877,0.869470112
22,1.002409382,0.849107881
23,1.001148618,0.828917512
24,0.999893768,0.808821839
25,0.998640092,0.788744956
26,0.997382867,0.768611258
27,0.996117333,0.748344487
28,0.994838627,0.727866765
29,0.99354172,0.707097586
30,0.992221356,0.68595273
31,0.990871967,0.664343084
32,0.989487603,0.642173322
33,0.988061829,0.619340398
34,0.98658762,0.595731822
35,0.985057235,0.571223619
36,0.983462065,0.545677923
37,0.981792453,0.518940084
38,0.980037475,0.490835159
39,0.97818467,0.461163605
40,0.976219711,0.429695951
41,0.974125982,0.396166132
42,0.971884058,0.360263061
43,0.96947103,0.32161986
44,0.966859636,0.279799943
45,0.964017124,0.234278809
46,0.960903745,0.184419903
47,0.957470726,0.129442161
48,0.953657503,0.068375666
49,0.949387867,0
