Player,Team,Offense,Defense,Total,Offense_value,Offense_percentile,Defense(*)_value,Defense(*)_percentile,Total_value,Total_percentile
Shai Gilgeous-Alexander,OKC,4.6 (99),-2.1 (98),6.7 (99),4.6,99,-2.1,98,6.7,99
Nikola Jokić,DEN,5.2 (99),-1.1 (91),6.3 (99),5.2,99,-1.1,91,6.3,99
Giannis Antetokounmpo,MIL,4.1 (99),-0.4 (75),4.5 (99),4.1,99,-0.4,75,4.5,99
Hugo González,BOS,2.5 (97),-2.0 (98),4.5 (99),2.5,97,-2.0,98,4.5,99
Franz Wagner,ORL,2.3 (97),-1.8 (97),4.1 (99),2.3,97,-1.8,97,4.1,99
Steven Adams,HOU,1.7 (93),-2.3 (98),4.0 (99),1.7,93,-2.3,98,4.0,99
Victor Wembanyama,SAS,0.8 (86),-3.1 (99),3.9 (98),0.8,86,-3.1,99,3.9,98
Zach Edey,MEM,2.3 (96),-1.6 (96),3.9 (98),2.3,96,-1.6,96,3.9,98
De'Anthony Melton,GSW,2.5 (98),-1.2 (93),3.7 (98),2.5,98,-1.2,93,3.7,98
Ajay Mitchell,OKC,0.3 (76),-3.4 (99),3.7 (98),0.3,76,-3.4,99,3.7,98
Dereck Lively II,DAL,2.3 (97),-1.3 (94),3.6 (98),2.3,97,-1.3,94,3.6,98
Tyrese Haliburton,IND,3.3 (99),-0.1 (62),3.4 (98),3.3,99,-0.1,62,3.4,98
Donovan Mitchell,CLE,2.3 (97),-1.0 (89),3.3 (97),2.3,97,-1.0,89,3.3,97
Chet Holmgren,OKC,1.3 (91),-1.9 (97),3.2 (97),1.3,91,-1.9,97,3.2,97
Kawhi Leonard,LAC,2.0 (94),-1.2 (92),3.2 (97),2.0,94,-1.2,92,3.2,97
Stephen Curry,GSW,4.8 (99),1.6 (3),3.2 (97),4.8,99,1.6,3,3.2,97
Miles McBride,NYK,2.1 (96),-0.9 (87),3.0 (97),2.1,96,-0.9,87,3.0,97
Norman Powell,MIA,1.6 (92),-1.4 (94),3.0 (97),1.6,92,-1.4,94,3.0,97
Lauri Markkanen,UTA,2.1 (95),-0.8 (84),2.9 (97),2.1,95,-0.8,84,2.9,97
Luka Dončić,LAL,2.8 (98),-0.1 (62),2.9 (96),2.8,98,-0.1,62,2.9,96
Alex Caruso,OKC,-0.3 (62),-3.1 (99),2.8 (96),-0.3,62,-3.1,99,2.8,96
Jimmy Butler,GSW,2.1 (95),-0.7 (82),2.8 (96),2.1,95,-0.7,82,2.8,96
Deni Avdija,POR,3.3 (99),0.5 (29),2.8 (96),3.3,99,0.5,29,2.8,96
Derrick White,BOS,1.2 (90),-1.6 (96),2.8 (96),1.2,90,-1.6,96,2.8,96
Amen Thompson,HOU,1.1 (89),-1.7 (96),2.8 (96),1.1,89,-1.7,96,2.8,96
Alperen Sengun,HOU,2.2 (96),-0.5 (77),2.7 (95),2.2,96,-0.5,77,2.7,95
Ty Jerome,CLE,2.6 (98),-0.1 (60),2.7 (95),2.6,98,-0.1,60,2.7,95
Kyrie Irving,DAL,2.4 (97),-0.3 (71),2.7 (95),2.4,97,-0.3,71,2.7,95
Rudy Gobert,MIN,-0.6 (47),-3.3 (99),2.7 (95),-0.6,47,-3.3,99,2.7,95
Herbert Jones,NOP,0.3 (77),-2.4 (99),2.7 (95),0.3,77,-2.4,99,2.7,95
Jarrett Allen,CLE,2.0 (95),-0.6 (81),2.6 (95),2.0,95,-0.6,81,2.6,95
Dorian Finney-Smith,HOU,1.0 (89),-1.6 (96),2.6 (95),1.0,89,-1.6,96,2.6,95
Aaron Wiggins,OKC,2.2 (96),-0.3 (71),2.5 (94),2.2,96,-0.3,71,2.5,94
Brandin Podziemski,GSW,0.4 (79),-2.1 (98),2.5 (94),0.4,79,-2.1,98,2.5,94
Kevin Durant,HOU,2.2 (96),-0.1 (61),2.3 (94),2.2,96,-0.1,61,2.3,94
Isaiah Hartenstein,OKC,0.9 (88),-1.4 (95),2.3 (94),0.9,88,-1.4,95,2.3,94
Fred VanVleet,HOU,1.1 (89),-1.2 (93),2.3 (94),1.1,89,-1.2,93,2.3,94
AJ Green,MIL,0.8 (86),-1.5 (95),2.3 (94),0.8,86,-1.5,95,2.3,94
Collin Gillespie,PHX,1.4 (91),-0.9 (86),2.3 (93),1.4,91,-0.9,86,2.3,93
Dean Wade,CLE,0.5 (82),-1.7 (96),2.2 (93),0.5,82,-1.7,96,2.2,93
Jaylin Williams,OKC,0.2 (75),-1.9 (97),2.1 (93),0.2,75,-1.9,97,2.1,93
Cade Cunningham,DET,1.7 (93),-0.4 (74),2.1 (93),1.7,93,-0.4,74,2.1,93
Dyson Daniels,ATL,1.7 (93),-0.4 (74),2.1 (93),1.7,93,-0.4,74,2.1,93
Moussa Diabate,CHA,1.6 (92),-0.5 (77),2.1 (93),1.6,92,-0.5,77,2.1,93
Ronald Holland II,DET,-0.2 (63),-2.3 (99),2.1 (93),-0.2,63,-2.3,99,2.1,93
Luke Kornet,SAS,0.5 (81),-1.5 (95),2.0 (92),0.5,81,-1.5,95,2.0,92
Tari Eason,HOU,1.1 (89),-0.9 (86),2.0 (92),1.1,89,-0.9,86,2.0,92
Pascal Siakam,IND,1.2 (90),-0.8 (83),2.0 (92),1.2,90,-0.8,83,2.0,92
Devin Booker,PHX,2.1 (95),0.1 (48),2.0 (92),2.1,95,0.1,48,2.0,92
Daniss Jenkins,DET,1.0 (88),-1.0 (87),2.0 (92),1.0,88,-1.0,87,2.0,92
Dylan Harper,SAS,0.5 (80),-1.5 (95),2.0 (92),0.5,80,-1.5,95,2.0,92
Cameron Johnson,DEN,2.1 (95),0.2 (44),1.9 (91),2.1,95,0.2,44,1.9,91
Luka Garza,BOS,1.6 (92),-0.3 (69),1.9 (91),1.6,92,-0.3,69,1.9,91
Jayson Tatum,BOS,0.9 (87),-1.0 (88),1.9 (91),0.9,87,-1.0,88,1.9,91
Julian Champagnie,SAS,1.9 (94),0.0 (55),1.9 (91),1.9,94,0.0,55,1.9,91
Naz Reid,MIN,0.5 (81),-1.3 (94),1.8 (91),0.5,81,-1.3,94,1.8,91
Brandon Clarke,MEM,0.9 (86),-0.9 (85),1.8 (91),0.9,86,-0.9,85,1.8,91
Tyrese Maxey,PHI,2.4 (97),0.6 (24),1.8 (91),2.4,97,0.6,24,1.8,91
Jalen Smith,CHI,2.0 (94),0.3 (39),1.7 (90),2.0,94,0.3,39,1.7,90
Karl-Anthony Towns,NYK,2.4 (97),0.7 (21),1.7 (90),2.4,97,0.7,21,1.7,90
Goga Bitadze,ORL,1.0 (88),-0.7 (82),1.7 (90),1.0,88,-0.7,82,1.7,90
Oso Ighodaro,PHX,-0.1 (66),-1.8 (97),1.7 (90),-0.1,66,-1.8,97,1.7,90
Kon Knueppel,CHA,2.0 (94),0.3 (35),1.7 (90),2.0,94,0.3,35,1.7,90
Jamal Murray,DEN,3.1 (98),1.5 (5),1.6 (90),3.1,98,1.5,5,1.6,90
Vince Williams Jr.,MEM,0.8 (86),-0.8 (84),1.6 (89),0.8,86,-0.8,84,1.6,89
LaMelo Ball,CHA,3.1 (98),1.5 (4),1.6 (89),3.1,98,1.5,4,1.6,89
Payton Pritchard,BOS,2.1 (95),0.5 (28),1.6 (89),2.1,95,0.5,28,1.6,89
Davion Mitchell,MIA,0.5 (80),-1.1 (90),1.6 (89),0.5,80,-1.1,90,1.6,89
OG Anunoby,NYK,0.3 (77),-1.3 (93),1.6 (89),0.3,77,-1.3,93,1.6,89
Neemias Queta,BOS,0.4 (79),-1.2 (92),1.6 (89),0.4,79,-1.2,92,1.6,89
Evan Mobley,CLE,0.2 (76),-1.4 (95),1.6 (89),0.2,76,-1.4,95,1.6,89
Jordan Goodwin,PHX,0.2 (74),-1.4 (94),1.6 (88),0.2,74,-1.4,94,1.6,88
Marcus Smart,LAL,0.4 (80),-1.1 (91),1.5 (88),0.4,80,-1.1,91,1.5,88
D'Angelo Russell,DAL,0.5 (81),-1.0 (88),1.5 (88),0.5,81,-1.0,88,1.5,88
Jalen Suggs,ORL,-0.5 (51),-2.0 (98),1.5 (88),-0.5,51,-2.0,98,1.5,88
Kenrich Williams,OKC,0.9 (87),-0.6 (79),1.5 (88),0.9,87,-0.6,79,1.5,88
Aaron Gordon,DEN,-0.5 (52),-1.9 (97),1.4 (88),-0.5,52,-1.9,97,1.4,88
Christian Braun,DEN,0.2 (75),-1.2 (93),1.4 (87),0.2,75,-1.2,93,1.4,87
Joel Embiid,PHI,0.5 (82),-0.9 (87),1.4 (87),0.5,82,-0.9,87,1.4,87
Paul Reed,DET,0.5 (81),-0.9 (87),1.4 (87),0.5,81,-0.9,87,1.4,87
Sam Hauser,BOS,1.5 (92),0.1 (49),1.4 (87),1.5,92,0.1,49,1.4,87
VJ Edgecombe,PHI,0.8 (85),-0.6 (78),1.4 (87),0.8,85,-0.6,78,1.4,87
