Player,Offense,Defense(*),Total
Nikola Joki?,6.0 (99),-1.8 (93),7.8 (99)
Kevin Durant,4.4 (99),-2.2 (96),6.6 (99)
Stephen Curry,5.1 (99),-1.5 (91),6.6 (99)
Joel Embiid,3.2 (97),-3.0 (99),6.2 (99)
Giannis Antetokounmpo,2.9 (97),-3.3 (99),6.2 (99)
Jayson Tatum,3.8 (98),-2.0 (95),5.8 (99)
Rudy Gobert,0.5 (82),-5.0 (99),5.5 (98)
LeBron James,3.9 (98),-1.5 (91),5.4 (98)
Jimmy Butler,3.3 (97),-2.0 (95),5.3 (98)
Chris Paul,2.2 (95),-2.6 (97),4.8 (98)
Jrue Holiday,3.1 (97),-1.1 (87),4.2 (98)
Paul George,1.2 (90),-2.9 (98),4.1 (98)
Desmond Bane,2.6 (96),-1.3 (88),3.9 (97)
Devin Booker,3.8 (98),-0.1 (68),3.9 (97)
Kyrie Irving,4.6 (99),0.8 (46),3.8 (97)
Robert Williams III,1.3 (91),-2.4 (97),3.7 (97)
Immanuel Quickley,1.9 (94),-1.8 (94),3.7 (97)
Alex Caruso,-0.3 (69),-3.9 (99),3.6 (97)
Karl-Anthony Towns,4.5 (99),0.9 (45),3.6 (96)
Derrick White,0.6 (83),-3.0 (99),3.6 (96)
Trae Young,5.9 (99),2.4 (3),3.5 (96)
Dorian Finney-Smith,2.4 (96),-1.1 (86),3.5 (96)
Mikal Bridges,2.2 (95),-1.1 (86),3.3 (96)
Dejounte Murray,1.9 (94),-1.4 (90),3.3 (96)
Jarrett Allen,1.0 (89),-2.1 (96),3.1 (95)
Bam Adebayo,0.6 (83),-2.5 (97),3.1 (95)
Al Horford,0.5 (82),-2.6 (97),3.1 (95)
Fred VanVleet,1.1 (90),-1.9 (94),3.0 (95)
Mike Conley,1.4 (92),-1.6 (92),3.0 (95)
Luka Don?i?,3.6 (98),0.7 (49),2.9 (95)
Anthony Davis,0.2 (78),-2.6 (98),2.8 (94)
James Harden,3.5 (98),0.7 (49),2.8 (94)
Pascal Siakam,2.1 (95),-0.7 (80),2.8 (94)
Jaylen Brown,1.4 (92),-1.3 (88),2.7 (94)
Isaiah Hartenstein,1.1 (89),-1.6 (92),2.7 (94)
Gary Payton II,0.2 (78),-2.4 (97),2.6 (94)
Darius Garland,2.2 (95),-0.4 (75),2.6 (93)
