team,year,TQ,win_pct
Minnesota Timberwolves,2020,3.7455622619848272,0.296875
Houston Rockets,2020,3.6829411014579034,0.6111111111111112
Portland Trail Blazers,2020,3.5695264413774237,0.4729729729729729
Atlanta Hawks,2020,3.393556694525217,0.2985074626865671
Denver Nuggets,2020,2.080744038587365,0.6301369863013698
Phoenix Suns,2020,1.7696618132835016,0.4657534246575342
Boston Celtics,2020,1.5348228503764814,0.6666666666666666
Dallas Mavericks,2020,1.290611552079945,0.5733333333333334
Miami Heat,2020,1.1979669520143341,0.6027397260273972
Washington Wizards,2020,0.7139166844532356,0.3472222222222222
Detroit Pistons,2020,0.6638754944300143,0.303030303030303
Charlotte Hornets,2020,0.5125699974605509,0.3538461538461538
Los Angeles Clippers,2020,0.4698433379452345,0.6805555555555556
Oklahoma City Thunder,2020,0.41242938237291193,0.6111111111111112
Brooklyn Nets,2020,0.2708734789177214,0.4861111111111111
Sacramento Kings,2020,0.20446029015673628,0.4305555555555556
New Orleans Pelicans,2020,0.18334411927705574,0.4166666666666667
San Antonio Spurs,2020,0.1414617567310814,0.4507042253521127
Los Angeles Lakers,2020,0.08655965118768272,0.7323943661971831
New York Knicks,2020,0.02372087659582678,0.3181818181818182
Golden State Warriors,2020,-0.10166562283758207,0.2307692307692307
Cleveland Cavaliers,2020,-0.12478847239707846,0.2923076923076923
Orlando Magic,2020,-0.3371460347570667,0.4520547945205479
Indiana Pacers,2020,-0.4171812508532591,0.6164383561643836
Toronto Raptors,2020,-0.45584180531617946,0.7361111111111112
Chicago Bulls,2020,-0.9316548765261201,0.3384615384615385
Milwaukee Bucks,2020,-0.9773792606828358,0.7671232876712328
Memphis Grizzlies,2020,-1.6173598662350834,0.4657534246575342
Philadelphia 76ers,2020,-1.8216689229334888,0.589041095890411
Utah Jazz,2020,-1.886649853972094,0.6111111111111112
Portland Trail Blazers,2021,3.884299533968787,0.5833333333333334
Brooklyn Nets,2021,3.5863976129462403,0.6666666666666666
Denver Nuggets,2021,3.24651345904692,0.6527777777777778
Minnesota Timberwolves,2021,2.9940061971207674,0.3194444444444444
Golden State Warriors,2021,2.53629353643555,0.5416666666666666
New Orleans Pelicans,2021,2.2370352250865673,0.4305555555555556
Phoenix Suns,2021,1.8874907508586158,0.7083333333333334
Oklahoma City Thunder,2021,1.5995605242866233,0.3055555555555556
Atlanta Hawks,2021,1.552989613979622,0.5694444444444444
Washington Wizards,2021,1.5158770547545966,0.4722222222222222
Los Angeles Clippers,2021,1.4614140760565308,0.6527777777777778
Dallas Mavericks,2021,1.287278079814537,0.5833333333333334
Boston Celtics,2021,1.1385047487461057,0.5
Chicago Bulls,2021,1.1366016546511133,0.4305555555555556
Sacramento Kings,2021,1.0687241137224952,0.4305555555555556
Houston Rockets,2021,0.36190715712763977,0.2361111111111111
Toronto Raptors,2021,0.1738002393605369,0.375
Charlotte Hornets,2021,0.01554193380263591,0.4583333333333333
Miami Heat,2021,-0.04289451165832148,0.5555555555555556
San Antonio Spurs,2021,-0.2879382806375306,0.4583333333333333
Philadelphia 76ers,2021,-0.2911094225416657,0.6805555555555556
Milwaukee Bucks,2021,-0.36674733807498683,0.6388888888888888
Cleveland Cavaliers,2021,-0.47854762670967954,0.3055555555555556
Los Angeles Lakers,2021,-0.5227808383556303,0.5833333333333334
Memphis Grizzlies,2021,-0.6565650581719848,0.5277777777777778
New York Knicks,2021,-0.7287104481942269,0.5694444444444444
Indiana Pacers,2021,-0.9689265123430344,0.4722222222222222
Detroit Pistons,2021,-1.4992448980990356,0.2777777777777778
Orlando Magic,2021,-1.5609473720230949,0.2916666666666667
Utah Jazz,2021,-2.739857621945687,0.7222222222222222
Denver Nuggets,2022,4.082112305586837,0.5853658536585366
Atlanta Hawks,2022,3.5582859715987323,0.524390243902439
Brooklyn Nets,2022,2.461126313218187,0.5365853658536586
Golden State Warriors,2022,1.7553240900459999,0.6463414634146342
Dallas Mavericks,2022,1.640975283722371,0.6341463414634146
Minnesota Timberwolves,2022,1.601225518937309,0.5609756097560976
Los Angeles Lakers,2022,1.1916024623893802,0.4024390243902439
Phoenix Suns,2022,1.1297279648293892,0.7804878048780488
Washington Wizards,2022,1.0546674974752623,0.4268292682926829
Memphis Grizzlies,2022,0.9658642893144718,0.6829268292682927
New Orleans Pelicans,2022,0.812314767219334,0.4390243902439024
Charlotte Hornets,2022,0.7980293426762701,0.524390243902439
San Antonio Spurs,2022,0.582716651702945,0.4146341463414634
Philadelphia 76ers,2022,0.5247218255897352,0.6219512195121951
Houston Rockets,2022,0.4868945525061319,0.2439024390243902
Portland Trail Blazers,2022,0.4233738447060955,0.3292682926829268
Boston Celtics,2022,0.4084372011255071,0.6219512195121951
Toronto Raptors,2022,0.1509075786530869,0.5853658536585366
New York Knicks,2022,0.08544777436019202,0.4512195121951219
Oklahoma City Thunder,2022,0.07583825933371546,0.2926829268292683
Milwaukee Bucks,2022,-0.023007930339046467,0.6219512195121951
Sacramento Kings,2022,-0.24743097575801243,0.3658536585365853
Indiana Pacers,2022,-0.35640395980407114,0.3048780487804878
Cleveland Cavaliers,2022,-0.45716032773063064,0.5365853658536586
Detroit Pistons,2022,-0.6463266234806031,0.2804878048780488
Miami Heat,2022,-0.7849711429155404,0.6463414634146342
Chicago Bulls,2022,-0.8831310023462029,0.5609756097560976
Orlando Magic,2022,-1.3080077994244803,0.2682926829268293
Los Angeles Clippers,2022,-1.3482099138926649,0.5121951219512195
Utah Jazz,2022,-1.7798954040153667,0.5975609756097561
Denver Nuggets,2023,3.870266288616538,0.6463414634146342
Dallas Mavericks,2023,3.5077379872816805,0.4634146341463415
Portland Trail Blazers,2023,2.494653868074569,0.4024390243902439
Atlanta Hawks,2023,2.208370276079787,0.5
Phoenix Suns,2023,2.1926574953123037,0.5487804878048781
Oklahoma City Thunder,2023,1.8150593229097127,0.4878048780487805
Sacramento Kings,2023,1.7982635523161417,0.5853658536585366
Los Angeles Clippers,2023,1.4217102796575953,0.5365853658536586
Golden State Warriors,2023,1.0237929359358744,0.5365853658536586
Cleveland Cavaliers,2023,1.0089768794272858,0.6219512195121951
Milwaukee Bucks,2023,0.8111682734952925,0.7073170731707317
Philadelphia 76ers,2023,0.7853694350668965,0.6585365853658537
Boston Celtics,2023,0.6096847858562242,0.6951219512195121
San Antonio Spurs,2023,0.512013145854676,0.2682926829268293
Washington Wizards,2023,0.45255665255609157,0.4268292682926829
Utah Jazz,2023,0.42320968861424135,0.4512195121951219
Toronto Raptors,2023,0.4194645019497423,0.5
Detroit Pistons,2023,0.20092719776860313,0.2073170731707317
