player,team,year,rapm_off,rapm_def,attendance_rate
Al Horford,Atlanta Hawks,2015,0.3,-1.5,0.926829268292683
Austin Daye,Atlanta Hawks,2015,-1.7,1.1,0.4146341463414634
DeMarre Carroll,Atlanta Hawks,2015,1.2,-1.2,0.8536585365853658
Elton Brand,Atlanta Hawks,2015,-2.0,-0.1,0.4390243902439024
Jeff Teague,Atlanta Hawks,2015,0.9,-0.1,0.8902439024390244
John Jenkins,Atlanta Hawks,2015,-2.1,1.1,0.2926829268292683
Kent Bazemore,Atlanta Hawks,2015,-2.9,0.0,0.9146341463414634
Kyle Korver,Atlanta Hawks,2015,2.6,-1.0,0.9146341463414634
Mike Muscala,Atlanta Hawks,2015,-1.7,1.0,0.4878048780487805
Mike Scott,Atlanta Hawks,2015,-1.3,1.1,0.8292682926829268
Paul Millsap,Atlanta Hawks,2015,1.4,-1.3,0.8902439024390244
Pero Antic,Atlanta Hawks,2015,-0.9,-1.9,0.7682926829268293
Shelvin Mack,Atlanta Hawks,2015,-0.3,0.8,0.6707317073170732
Thabo Sefolosha,Atlanta Hawks,2015,-0.9,-2.2,0.6341463414634146
Avery Bradley,Boston Celtics,2015,-0.0,-1.2,0.9390243902439024
Brandon Bass,Boston Celtics,2015,-1.3,1.4,1.0
Evan Turner,Boston Celtics,2015,-0.5,0.7,1.0
Gerald Wallace,Boston Celtics,2015,-1.6,-0.7,0.3902439024390244
Gigi Datome,Boston Celtics,2015,-1.8,-0.0,0.2560975609756097
Isaiah Thomas,Boston Celtics,2015,2.4,0.5,0.8170731707317073
Jae Crowder,Boston Celtics,2015,1.0,-1.2,1.0
James Young,Boston Celtics,2015,-2.7,1.9,0.3780487804878049
Jared Sullinger,Boston Celtics,2015,0.9,-0.4,0.7073170731707317
Jonas Jerebko,Boston Celtics,2015,-0.5,-0.5,0.9146341463414634
Kelly Olynyk,Boston Celtics,2015,0.9,0.6,0.7804878048780488
Marcus Smart,Boston Celtics,2015,0.3,-1.3,0.8170731707317073
Phil Pressey,Boston Celtics,2015,-1.3,-0.5,0.6097560975609756
Tyler Zeller,Boston Celtics,2015,-0.4,-0.3,1.0
Alan Anderson,Brooklyn Nets,2015,-1.1,-0.8,0.902439024390244
Andrei Kirilenko,Brooklyn Nets,2015,-1.3,0.1,0.0853658536585365
Bojan Bogdanovic,Brooklyn Nets,2015,-0.6,2.4,0.951219512195122
Brook Lopez,Brooklyn Nets,2015,-0.2,-0.3,0.8780487804878049
Cory Jefferson,Brooklyn Nets,2015,-2.0,-0.8,0.6097560975609756
Darius Morris,Brooklyn Nets,2015,-2.6,0.3,0.4634146341463415
Deron Williams,Brooklyn Nets,2015,2.3,-0.6,0.8292682926829268
Earl Clark,Brooklyn Nets,2015,-1.7,0.8,0.1219512195121951
Jarrett Jack,Brooklyn Nets,2015,-1.9,0.7,0.975609756097561
Jerome Jordan,Brooklyn Nets,2015,-3.1,1.4,0.5365853658536586
Joe Johnson,Brooklyn Nets,2015,1.6,1.0,0.975609756097561
Markel Brown,Brooklyn Nets,2015,-1.6,1.5,0.573170731707317
Mason Plumlee,Brooklyn Nets,2015,-0.1,1.7,1.0
Mirza Teletovic,Brooklyn Nets,2015,-0.6,0.5,0.4878048780487805
Sergey Karasev,Brooklyn Nets,2015,-1.6,-0.0,0.4024390243902439
Thaddeus Young,Brooklyn Nets,2015,0.5,0.2,0.926829268292683
Al Jefferson,Charlotte Hornets,2015,0.0,0.1,0.7926829268292683
Bismack Biyombo,Charlotte Hornets,2015,-1.5,0.1,0.7804878048780488
Brian Roberts,Charlotte Hornets,2015,-1.3,1.0,0.8780487804878049
Cody Zeller,Charlotte Hornets,2015,-0.8,-1.9,0.7560975609756098
Gerald Henderson,Charlotte Hornets,2015,-0.6,-0.1,0.975609756097561
Jannero Pargo,Charlotte Hornets,2015,-2.7,2.4,0.1097560975609756
Jason Maxiell,Charlotte Hornets,2015,-2.7,-0.2,0.7439024390243902
Jeffery Taylor,Charlotte Hornets,2015,-2.6,0.9,0.3536585365853658
Kemba Walker,Charlotte Hornets,2015,0.9,-0.2,0.7560975609756098
Lance Stephenson,Charlotte Hornets,2015,-1.2,0.1,0.7439024390243902
Marvin Williams,Charlotte Hornets,2015,-1.1,-0.4,0.951219512195122
Michael Kidd-Gilchrist,Charlotte Hornets,2015,0.1,-2.3,0.6707317073170732
Mo Williams,Charlotte Hornets,2015,-0.0,1.2,0.8292682926829268
Noah Vonleh,Charlotte Hornets,2015,-3.7,1.4,0.3048780487804878
PJ Hairston,Charlotte Hornets,2015,-2.1,1.8,0.5487804878048781
Troy Daniels,Charlotte Hornets,2015,-2.2,2.0,0.573170731707317
Aaron Brooks,Chicago Bulls,2015,0.4,2.2,1.0
Cameron Bairstow,Chicago Bulls,2015,-3.1,2.0,0.2195121951219512
Derrick Rose,Chicago Bulls,2015,0.4,0.6,0.6219512195121951
Doug McDermott,Chicago Bulls,2015,-3.1,2.0,0.4390243902439024
E'Twaun Moore,Chicago Bulls,2015,-1.4,0.5,0.6829268292682927
Joakim Noah,Chicago Bulls,2015,-0.4,-2.1,0.8170731707317073
Kirk Hinrich,Chicago Bulls,2015,-1.5,-0.7,0.8048780487804879
Mike Dunleavy,Chicago Bulls,2015,0.7,-1.7,0.7682926829268293
Nazr Mohammed,Chicago Bulls,2015,-2.5,-0.7,0.2804878048780488
Nikola Mirotic,Chicago Bulls,2015,1.2,-0.3,1.0
Pau Gasol,Chicago Bulls,2015,1.0,-0.9,0.951219512195122
Taj Gibson,Chicago Bulls,2015,-1.2,-0.9,0.7560975609756098
Tony Snell,Chicago Bulls,2015,-1.2,0.2,0.8780487804878049
AJ Price,Cleveland Cavaliers,2015,-2.2,0.7,0.3170731707317073
Alex Kirk,Cleveland Cavaliers,2015,-3.4,1.9,0.0609756097560975
Anderson Varejao,Cleveland Cavaliers,2015,-0.3,-0.8,0.3170731707317073
Brendan Haywood,Cleveland Cavaliers,2015,-3.2,0.9,0.2682926829268293
Iman Shumpert,Cleveland Cavaliers,2015,0.4,-2.5,0.7560975609756098
JR Smith,Cleveland Cavaliers,2015,1.3,-0.2,0.8536585365853658
James Jones,Cleveland Cavaliers,2015,-0.9,2.2,0.6951219512195121
Joe Harris,Cleveland Cavaliers,2015,-2.8,2.6,0.6219512195121951
Kendrick Perkins,Cleveland Cavaliers,2015,-5.3,-0.3,0.8292682926829268
Kevin Love,Cleveland Cavaliers,2015,2.7,-1.0,0.9146341463414634
Kyrie Irving,Cleveland Cavaliers,2015,3.0,1.0,0.9146341463414634
LeBron James,Cleveland Cavaliers,2015,5.7,-2.1,0.8414634146341463
Matthew Dellavedova,Cleveland Cavaliers,2015,-0.7,-0.7,0.8170731707317073
Mike Miller,Cleveland Cavaliers,2015,-1.6,1.7,0.6341463414634146
Shawn Marion,Cleveland Cavaliers,2015,-1.0,0.2,0.6951219512195121
Timofey Mozgov,Cleveland Cavaliers,2015,-0.2,-1.6,0.9878048780487804
Tristan Thompson,Cleveland Cavaliers,2015,0.5,0.9,1.0
