player,team,year,attendance_rate
AJ Price,Cleveland Cavaliers,2015,0.3170731707317073
Aaron Brooks,Chicago Bulls,2015,1.0
Aaron Gordon,Orlando Magic,2015,0.573170731707317
Adreian Payne,Minnesota Timberwolves,2015,0.3902439024390244
Al Horford,Atlanta Hawks,2015,0.926829268292683
Al Jefferson,Charlotte Hornets,2015,0.7926829268292683
Al-Farouq Aminu,Dallas Mavericks,2015,0.9024390243902439
Alan Anderson,Brooklyn Nets,2015,0.9024390243902439
Alec Burks,Utah Jazz,2015,0.32926829268292684
Alex Kirk,Cleveland Cavaliers,2015,0.06097560975609756
Alex Len,Phoenix Suns,2015,0.8414634146341463
Alexey Shved,New York Knicks,2015,0.5121951219512195
Alexis Ajinca,New Orleans Pelicans,2015,0.8292682926829268
Allen Crabbe,Portland Trail Blazers,2015,0.6219512195121951
Alonzo Gee,Portland Trail Blazers,2015,0.6585365853658537
Amar'e Stoudemire,Dallas Mavericks,2015,0.7195121951219512
Amir Johnson,Toronto Raptors,2015,0.9146341463414634
Anderson Varejao,Cleveland Cavaliers,2015,0.3170731707317073
Andre Dawkins,Miami Heat,2015,0.04878048780487805
Andre Drummond,Detroit Pistons,2015,1.0
Andre Iguodala,Golden State Warriors,2015,0.9390243902439024
Andre Miller,Sacramento Kings,2015,0.9878048780487805
Andre Roberson,Oklahoma City Thunder,2015,0.8170731707317073
Andrea Bargnani,New York Knicks,2015,0.35365853658536583
Andrei Kirilenko,Brooklyn Nets,2015,0.08536585365853659
Andrew Bogut,Golden State Warriors,2015,0.8170731707317073
Andrew Nicholson,Orlando Magic,2015,0.4878048780487805
Andrew Wiggins,Minnesota Timberwolves,2015,1.0
Anthony Bennett,Minnesota Timberwolves,2015,0.6951219512195121
Anthony Davis,New Orleans Pelicans,2015,0.8292682926829268
Anthony Morrow,Oklahoma City Thunder,2015,0.9024390243902439
Anthony Tolliver,Detroit Pistons,2015,0.926829268292683
Archie Goodwin,Phoenix Suns,2015,0.5
Arinze Onuaku,Minnesota Timberwolves,2015,0.07317073170731707
Aron Baynes,San Antonio Spurs,2015,0.8536585365853658
Arron Afflalo,Portland Trail Blazers,2015,0.9512195121951219
Austin Daye,Atlanta Hawks,2015,0.4146341463414634
Austin Rivers,Los Angeles Clippers,2015,0.926829268292683
Avery Bradley,Boston Celtics,2015,0.9390243902439024
Ben Gordon,Orlando Magic,2015,0.6829268292682927
Ben McLemore,Sacramento Kings,2015,1.0
Beno Udrih,Memphis Grizzlies,2015,0.9634146341463414
Bernard James,Dallas Mavericks,2015,0.1951219512195122
Bismack Biyombo,Charlotte Hornets,2015,0.7804878048780488
Blake Griffin,Los Angeles Clippers,2015,0.8170731707317073
Bojan Bogdanovic,Brooklyn Nets,2015,0.9512195121951219
Boris Diaw,San Antonio Spurs,2015,0.9878048780487805
Bradley Beal,Washington Wizards,2015,0.7682926829268293
Brandan Wright,Phoenix Suns,2015,0.9146341463414634
Brandon Bass,Boston Celtics,2015,1.0
Brandon Davies,Philadelphia 76ers,2015,0.32926829268292684
Brandon Jennings,Detroit Pistons,2015,0.5
Brandon Knight,Phoenix Suns,2015,0.7682926829268293
Brandon Rush,Golden State Warriors,2015,0.4024390243902439
Brendan Haywood,Cleveland Cavaliers,2015,0.2682926829268293
Brian Roberts,Charlotte Hornets,2015,0.8780487804878049
Brook Lopez,Brooklyn Nets,2015,0.8780487804878049
Bruno Caboclo,Toronto Raptors,2015,0.0975609756097561
Bryce Cotton,Utah Jazz,2015,0.18292682926829268
C.J. Watson,Indiana Pacers,2015,0.6951219512195121
C.J. Wilcox,Los Angeles Clippers,2015,0.25609756097560976
CJ McCollum,Portland Trail Blazers,2015,0.7560975609756098
CJ Miles,Indiana Pacers,2015,0.8536585365853658
Cameron Bairstow,Chicago Bulls,2015,0.21951219512195122
Carl Landry,Sacramento Kings,2015,0.8536585365853658
Carlos Boozer,Los Angeles Lakers,2015,0.8658536585365854
Carmelo Anthony,New York Knicks,2015,0.4878048780487805
Caron Butler,Detroit Pistons,2015,0.9512195121951219
Cartier Martin,Detroit Pistons,2015,0.2804878048780488
Chandler Parsons,Dallas Mavericks,2015,0.8048780487804879
Channing Frye,Orlando Magic,2015,0.9146341463414634
Charlie Villanueva,Dallas Mavericks,2015,0.7804878048780488
Chase Budinger,Minnesota Timberwolves,2015,0.8170731707317073
Chris Andersen,Miami Heat,2015,0.7317073170731707
Chris Bosh,Miami Heat,2015,0.5365853658536586
Chris Copeland,Indiana Pacers,2015,0.6097560975609756
Chris Douglas-Roberts,Los Angeles Clippers,2015,0.14634146341463414
Chris Johnson,Utah Jazz,2015,0.35365853658536583
Chris Kaman,Portland Trail Blazers,2015,0.9024390243902439
Chris Paul,Los Angeles Clippers,2015,1.0
Chuck Hayes,Toronto Raptors,2015,0.35365853658536583
Cleanthony Early,New York Knicks,2015,0.47560975609756095
Clint Capela,Houston Rockets,2015,0.14634146341463414
Cody Zeller,Charlotte Hornets,2015,0.7560975609756098
Cole Aldrich,New York Knicks,2015,0.7439024390243902
Corey Brewer,Houston Rockets,2015,0.975609756097561
Cory Jefferson,Brooklyn Nets,2015,0.6097560975609756
Cory Joseph,San Antonio Spurs,2015,0.9634146341463414
Courtney Lee,Memphis Grizzlies,2015,0.9390243902439024
D.J. Augustin,Oklahoma City Thunder,2015,1.0
Dahntay Jones,Los Angeles Clippers,2015,0.4024390243902439
Damian Lillard,Portland Trail Blazers,2015,1.0
Damjan Rudez,Indiana Pacers,2015,0.8292682926829268
Danilo Gallinari,Denver Nuggets,2015,0.7195121951219512
Danny Granger,Phoenix Suns,2015,0.36585365853658536
Danny Green,San Antonio Spurs,2015,0.9878048780487805
Dante Cunningham,New Orleans Pelicans,2015,0.8048780487804879
Danté Exum,Utah Jazz,2015,1.0
Darius Miller,New Orleans Pelicans,2015,0.06097560975609756
Darius Morris,Brooklyn Nets,2015,0.4634146341463415
Darrell Arthur,Denver Nuggets,2015,0.7073170731707317
Darren Collison,Sacramento Kings,2015,0.5487804878048781
David Lee,Golden State Warriors,2015,0.5975609756097561
David Stockton,Sacramento Kings,2015,0.036585365853658534
David Wear,Sacramento Kings,2015,0.024390243902439025
David West,Indiana Pacers,2015,0.8048780487804879
DeAndre Jordan,Los Angeles Clippers,2015,1.0
DeJuan Blair,Washington Wizards,2015,0.35365853658536583
DeMar DeRozan,Toronto Raptors,2015,0.7317073170731707
DeMarcus Cousins,Sacramento Kings,2015,0.7195121951219512
DeMarre Carroll,Atlanta Hawks,2015,0.8536585365853658
Dennis Schröder,Atlanta Hawks,2015,0.9390243902439024
Deron Williams,Brooklyn Nets,2015,0.8292682926829268
Derrick Favors,Utah Jazz,2015,0.9024390243902439
Derrick Rose,Chicago Bulls,2015,0.6219512195121951
Derrick Williams,Sacramento Kings,2015,0.9024390243902439
Devin Harris,Dallas Mavericks,2015,0.926829268292683
Devyn Marble,Orlando Magic,2015,0.1951219512195122
Dewayne Dedmon,Orlando Magic,2015,0.7195121951219512
Dion Waiters,Oklahoma City Thunder,2015,0.975609756097561
Dirk Nowitzki,Dallas Mavericks,2015,0.9390243902439024
Donald Sloan,Indiana Pacers,2015,0.6463414634146342
Donatas Motiejunas,Houston Rockets,2015,0.8658536585365854
Dorell Wright,Portland Trail Blazers,2015,0.5853658536585366
Doug McDermott,Chicago Bulls,2015,0.43902439024390244
Draymond Green,Golden State Warriors,2015,0.9634146341463414
Drew Gooden,Washington Wizards,2015,0.6219512195121951
Drew Gordon,Philadelphia 76ers,2015,0.10975609756097561
Dwight Buycks,Los Angeles Lakers,2015,0.07317073170731707
Dwight Howard,Houston Rockets,2015,0.5
Dwight Powell,Dallas Mavericks,2015,0.35365853658536583
Dwyane Wade,Miami Heat,2015,0.7560975609756098
E'Twaun Moore,Chicago Bulls,2015,0.6829268292682927
Earl Barron,Phoenix Suns,2015,0.1951219512195122
Earl Clark,Brooklyn Nets,2015,0.12195121951219512
Ed Davis,Los Angeles Lakers,2015,0.9634146341463414
Ekpe Udoh,Los Angeles Clippers,2015,0.4024390243902439
Elfrid Payton,Orlando Magic,2015,1.0
Elijah Millsap,Utah Jazz,2015,0.573170731707317
Elliot Williams,Philadelphia 76ers,2015,0.15853658536585366
Elton Brand,Atlanta Hawks,2015,0.43902439024390244
Enes Freedom,Oklahoma City Thunder,2015,0.9146341463414634
Eric Bledsoe,Phoenix Suns,2015,0.9878048780487805
Eric Gordon,New Orleans Pelicans,2015,0.7439024390243902
Eric Moreland,Sacramento Kings,2015,0.036585365853658534
Erick Green,Denver Nuggets,2015,0.524390243902439
Ersan Ilyasova,Milwaukee Bucks,2015,0.7073170731707317
Evan Fournier,Orlando Magic,2015,0.7073170731707317
Evan Turner,Boston Celtics,2015,1.0
Festus Ezeli,Golden State Warriors,2015,0.5609756097560976
Francisco Garcia,Houston Rockets,2015,0.17073170731707318
Furkan Aldemir,Philadelphia 76ers,2015,0.5
Gal Mekel,Dallas Mavericks,2015,0.04878048780487805
Garrett Temple,Washington Wizards,2015,0.6341463414634146
Gary Harris,Denver Nuggets,2015,0.6707317073170732
Gary Neal,Minnesota Timberwolves,2015,0.6585365853658537
George Hill,Indiana Pacers,2015,0.524390243902439
Gerald Green,Phoenix Suns,2015,0.9024390243902439
Gerald Henderson,Charlotte Hornets,2015,0.975609756097561
Gerald Wallace,Boston Celtics,2015,0.3902439024390244
Giannis Antetokounmpo,Milwaukee Bucks,2015,0.9878048780487805
Gigi Datome,Boston Celtics,2015,0.25609756097560976
Glen Davis,Los Angeles Clippers,2015,0.9024390243902439
Glen Rice,Washington Wizards,2015,0.06097560975609756
Glenn Robinson III,Philadelphia 76ers,2015,0.4268292682926829
Goran Dragic,Miami Heat,2015,0.9512195121951219
Gordon Hayward,Utah Jazz,2015,0.926829268292683
Gorgui Dieng,Minnesota Timberwolves,2015,0.8902439024390244
Grant Jerrett,Utah Jazz,2015,0.0975609756097561
Greg Monroe,Detroit Pistons,2015,0.8414634146341463
Greg Smith,Dallas Mavericks,2015,0.5121951219512195
Greg Stiemsma,Toronto Raptors,2015,0.2073170731707317
Greivis Vasquez,Toronto Raptors,2015,1.0
Harrison Barnes,Golden State Warriors,2015,1.0
Hassan Whiteside,Miami Heat,2015,0.5853658536585366
Hedo Turkoglu,Los Angeles Clippers,2015,0.7560975609756098
Henry Sims,Philadelphia 76ers,2015,0.8902439024390244
Henry Walker,Miami Heat,2015,0.2926829268292683
Hollis Thompson,Philadelphia 76ers,2015,0.8658536585365854
Ian Clark,Denver Nuggets,2015,0.36585365853658536
Ian Mahinmi,Indiana Pacers,2015,0.7439024390243902
Iman Shumpert,Cleveland Cavaliers,2015,0.7560975609756098
Isaiah Canaan,Philadelphia 76ers,2015,0.573170731707317
Isaiah Thomas,Boston Celtics,2015,0.8170731707317073
Ish Smith,Philadelphia 76ers,2015,0.6707317073170732
J.J. Barea,Dallas Mavericks,2015,0.9390243902439024
