Team,Value(B$),Revenue(M$),Operating Income(M$),Player Expenses(M$),Win-to-Player Cost Ratio,year
GSW,2.6,305,74.2,111,184,2016
GSW,3.1,359,120,119,202,2017
GSW,3.5,401,103,147,162,2018
GSW,4.3,440,109,156,154,2019
GSW,4.7,474,200,129,33,2020
GSW,5.6,258,-44,147,68,2021
GSW,7,765,206,169,137,2022
GSW,7.7,765,79,197,97,2023
GSW,8.8,800,142,215,78,2024
GSW,11,880,409,170,130,2025
LAL,3,333,119.2,84,40,2016
LAL,3.3,371,136,108,58,2017
LAL,3.7,395,147,112,82,2018
LAL,4.4,434,178,120,87,2019
LAL,4.6,400,155,114,211,2020
LAL,5.5,316,63,123,96,2021
LAL,5.9,465,115,163,55,2022
LAL,6.4,516,159,177,111,2023
LAL,7.1,522,199,175,106,2024
LAL,10,551,170,185,104,2025
NYK,3.3,376,141.2,86,74,2016
NYK,3.6,426,140,117,64,2017
NYK,4,443,155,115,66,2018
NYK,4.6,472,157,134,36,2019
NYK,5,421,178,103,58,2020
NYK,5.8,298,71,87,126,2021
NYK,6.1,452,155,111,91,2022
NYK,6.6,504,169,156,130,2023
NYK,7.5,543,182,168,139,2024
NYK,9.8,532,98,190,137,2025
LAC,2,185,-11.8,116,97,2016
LAC,2.2,257,35,137,101,2017
LAC,2.2,258,40,135,82,2018
LAC,2.6,282,73,128,115,2019
LAC,2.8,262,57,122,147,2020
LAC,3.3,219,18,124,139,2021
LAC,3.9,362,12,169,68,2022
LAC,4.7,425,-12,198,80,2023
LAC,5.5,353,-96,208,97,2024
LAC,7.5,569,154,172,120,2025
BOS,2.2,200,60.1,84,123,2016
BOS,2.5,257,85,107,162,2017
BOS,2.8,287,100,114,178,2018
BOS,3.1,304,88,139,100,2019
BOS,3.2,274,86,109,178,2020
BOS,3.6,211,46,98,99,2021
BOS,4,361,137,137,158,2022
BOS,4.7,443,88,185,146,2023
BOS,6,457,121,192,182,2024
BOS,6.7,458,116,192,140,2025
CHI,2.5,232,45.5,105,79,2016
CHI,2.6,281,95,105,104,2017
CHI,2.9,287,114,96,74,2018
CHI,3.2,301,103,115,54,2019
CHI,3.3,300,115,106,59,2020
CHI,3.7,213,39,106,75,2021
CHI,4.1,352,135,117,112,2022
CHI,4.6,372,115,158,91,2023
