Team,year,win_pct,win_pct(last_year),Player Expenses(M$),Revenue(M$),Market Size
ATL,2016,0.585365854,0.731707317,83,169,0.31
ATL,2017,0.524390244,0.585365854,119,209,0.31
ATL,2018,0.292682927,0.524390244,105,215,0.31
ATL,2019,0.353658537,0.292682927,95,251,0.31
ATL,2022,0.524390244,0.569444444,121,282,0.31
ATL,2023,0.5,0.524390244,159,326,0.31
ATL,2024,0.43902439,0.5,165,353,0.31
BKN,2016,0.256097561,0.463414634,92,223,0.75
BKN,2017,0.243902439,0.256097561,96,273,0.75
BKN,2018,0.341463415,0.243902439,106,290,0.75
BKN,2019,0.512195122,0.341463415,135,304,0.75
BKN,2022,0.536585366,0.666666667,174,405,0.75
BKN,2023,0.548780488,0.536585366,187,367,0.75
BKN,2024,0.390243902,0.548780488,155,381,0.75
BOS,2016,0.585365854,0.487804878,84,200,0.42
BOS,2017,0.646341463,0.585365854,107,257,0.42
BOS,2018,0.670731707,0.646341463,114,287,0.42
BOS,2019,0.597560976,0.670731707,139,304,0.42
BOS,2022,0.62195122,0.5,137,361,0.42
BOS,2023,0.695121951,0.62195122,185,443,0.42
BOS,2024,0.780487805,0.695121951,192,457,0.42
CHA,2016,0.585365854,0.402439024,88,158,0.23
CHA,2017,0.43902439,0.585365854,115,202,0.23
CHA,2018,0.43902439,0.43902439,127,213,0.23
CHA,2019,0.475609756,0.43902439,127,240,0.23
CHA,2022,0.524390244,0.458333333,105,269,0.23
CHA,2023,0.329268293,0.524390244,165,269,0.23
CHA,2024,0.256097561,0.329268293,148,308,0.23
CHI,2016,0.512195122,0.609756098,105,232,0.43
CHI,2017,0.5,0.512195122,105,281,0.43
CHI,2018,0.329268293,0.5,96,287,0.43
CHI,2019,0.268292683,0.329268293,115,301,0.43
CHI,2022,0.56097561,0.430555556,117,352,0.43
CHI,2023,0.487804878,0.56097561,158,372,0.43
CHI,2024,0.475609756,0.487804878,171,414,0.43
CLE,2016,0.695121951,0.646341463,131,233,0.2
CLE,2017,0.62195122,0.695121951,149,280,0.2
CLE,2018,0.609756098,0.62195122,152,302,0.2
CLE,2019,0.231707317,0.609756098,137,300,0.2
CLE,2022,0.536585366,0.305555556,128,325,0.2
CLE,2023,0.62195122,0.536585366,158,348,0.2
CLE,2024,0.585365854,0.62195122,172,391,0.2
DAL,2016,0.512195122,0.609756098,86,194,0.38
DAL,2017,0.402439024,0.512195122,127,233,0.38
DAL,2018,0.292682927,0.402439024,92,287,0.38
DAL,2019,0.402439024,0.292682927,108,307,0.38
DAL,2022,0.634146341,0.583333333,117,364,0.38
DAL,2023,0.463414634,0.634146341,177,429,0.38
DAL,2024,0.609756098,0.463414634,174,437,0.38
DEN,2016,0.402439024,0.365853659,81,157,0.32
DEN,2017,0.487804878,0.402439024,95,202,0.32
DEN,2018,0.56097561,0.487804878,116,222,0.32
DEN,2019,0.658536585,0.56097561,131,252,0.32
DEN,2022,0.585365854,0.652777778,138,273,0.32
DEN,2023,0.646341463,0.585365854,171,348,0.32
DEN,2024,0.695121951,0.646341463,186,356,0.32
DET,2016,0.536585366,0.390243902,81,172,0.25
DET,2017,0.451219512,0.536585366,123,221,0.25
DET,2018,0.475609756,0.451219512,127,235,0.25
DET,2019,0.5,0.475609756,138,255,0.25
DET,2022,0.280487805,0.277777778,127,278,0.25
DET,2023,0.207317073,0.280487805,132,274,0.25
DET,2024,0.170731707,0.207317073,146,305,0.25
GSW,2016,0.890243902,0.817073171,111,305,0.54
GSW,2017,0.817073171,0.890243902,119,359,0.54
GSW,2018,0.707317073,0.817073171,147,401,0.54
GSW,2019,0.695121951,0.707317073,156,440,0.54
GSW,2022,0.646341463,0.541666667,169,765,0.54
GSW,2023,0.536585366,0.646341463,197,765,0.54
GSW,2024,0.56097561,0.536585366,215,800,0.54
HOU,2016,0.5,0.682926829,103,244,0.36
HOU,2017,0.670731707,0.5,108,296,0.36
HOU,2018,0.792682927,0.670731707,130,326,0.36
HOU,2019,0.646341463,0.792682927,146,348,0.36
HOU,2022,0.243902439,0.236111111,128,350,0.36
HOU,2023,0.268292683,0.243902439,145,381,0.36
HOU,2024,0.5,0.268292683,145,416,0.36
IND,2016,0.548780488,0.463414634,83,157,0.22
IND,2017,0.512195122,0.548780488,106,205,0.22
IND,2018,0.585365854,0.512195122,104,222,0.22
IND,2019,0.585365854,0.585365854,119,243,0.22
IND,2022,0.304878049,0.472222222,127,264,0.22
IND,2023,0.426829268,0.304878049,127,263,0.22
IND,2024,0.573170732,0.426829268,149,320,0.22
LAC,2016,0.646341463,0.682926829,116,185,0.53
LAC,2017,0.62195122,0.646341463,137,257,0.53
LAC,2018,0.512195122,0.62195122,135,258,0.53
LAC,2019,0.585365854,0.512195122,128,282,0.53
LAC,2022,0.512195122,0.652777778,169,362,0.53
LAC,2023,0.536585366,0.512195122,198,425,0.53
LAC,2024,0.62195122,0.536585366,208,353,0.53
LAL,2016,0.207317073,0.256097561,84,333,0.53
LAL,2017,0.317073171,0.207317073,108,371,0.53
LAL,2018,0.426829268,0.317073171,112,395,0.53
