Team,year,win_pct,win_pct(last_year),Player Expenses(M$),Revenue(M$)
ATL,2016,0.5853658536585366,0.7317073170731707,83,169
ATL,2017,0.524390243902439,0.5853658536585366,119,209
ATL,2018,0.2926829268292683,0.524390243902439,105,215
ATL,2019,0.3536585365853658,0.2926829268292683,95,251
ATL,2020,0.2985074626865671,0.3536585365853658,111,222
ATL,2021,0.5694444444444444,0.2985074626865671,93,199
ATL,2022,0.524390243902439,0.5694444444444444,121,282
ATL,2023,0.5,0.524390243902439,159,326
ATL,2024,0.4390243902439024,0.5,165,353
BKN,2016,0.2560975609756097,0.4634146341463415,92,223
BKN,2017,0.2439024390243902,0.2560975609756097,96,273
BKN,2018,0.3414634146341463,0.2439024390243902,106,290
BKN,2019,0.5121951219512195,0.3414634146341463,135,304
BKN,2020,0.4861111111111111,0.5121951219512195,98,280
BKN,2021,0.6666666666666666,0.4861111111111111,156,212
BKN,2022,0.5365853658536586,0.6666666666666666,174,405
BKN,2023,0.5487804878048781,0.5365853658536586,187,367
BKN,2024,0.3902439024390244,0.5487804878048781,155,381
BOS,2016,0.5853658536585366,0.4878048780487805,84,200
BOS,2017,0.6463414634146342,0.5853658536585366,107,257
BOS,2018,0.6707317073170732,0.6463414634146342,114,287
BOS,2019,0.5975609756097561,0.6707317073170732,139,304
BOS,2020,0.6666666666666666,0.5975609756097561,109,274
BOS,2021,0.5,0.6666666666666666,98,211
BOS,2022,0.6219512195121951,0.5,137,361
BOS,2023,0.6951219512195121,0.6219512195121951,185,443
BOS,2024,0.7804878048780488,0.6951219512195121,192,457
CHA,2016,0.5853658536585366,0.4024390243902439,88,158
CHA,2017,0.4390243902439024,0.5853658536585366,115,202
CHA,2018,0.4390243902439024,0.4390243902439024,127,213
CHA,2019,0.4756097560975609,0.4390243902439024,127,240
CHA,2020,0.3538461538461538,0.4756097560975609,114,215
CHA,2021,0.4583333333333333,0.3538461538461538,93,183
CHA,2022,0.524390243902439,0.4583333333333333,105,269
CHA,2023,0.3292682926829268,0.524390243902439,165,269
CHA,2024,0.2560975609756097,0.3292682926829268,148,308
CHI,2016,0.5121951219512195,0.6097560975609756,105,232
CHI,2017,0.5,0.5121951219512195,105,281
CHI,2018,0.3292682926829268,0.5,96,287
CHI,2019,0.2682926829268293,0.3292682926829268,115,301
CHI,2020,0.3384615384615385,0.2682926829268293,106,300
CHI,2021,0.4305555555555556,0.3384615384615385,106,213
CHI,2022,0.5609756097560976,0.4305555555555556,117,352
CHI,2023,0.4878048780487805,0.5609756097560976,158,372
CHI,2024,0.4756097560975609,0.4878048780487805,171,414
CLE,2016,0.6951219512195121,0.6463414634146342,131,233
CLE,2017,0.6219512195121951,0.6951219512195121,149,280
CLE,2018,0.6097560975609756,0.6219512195121951,152,302
CLE,2019,0.2317073170731707,0.6097560975609756,137,300
CLE,2020,0.2923076923076923,0.2317073170731707,120,269
CLE,2021,0.3055555555555556,0.2923076923076923,110,211
CLE,2022,0.5365853658536586,0.3055555555555556,128,325
CLE,2023,0.6219512195121951,0.5365853658536586,158,348
CLE,2024,0.5853658536585366,0.6219512195121951,172,391
DAL,2016,0.5121951219512195,0.6097560975609756,86,194
DAL,2017,0.4024390243902439,0.5121951219512195,127,233
DAL,2018,0.2926829268292683,0.4024390243902439,92,287
DAL,2019,0.4024390243902439,0.2926829268292683,108,307
