Player,Offense,Defense(*),Total
LeBron James,6.1 (99),-2.1 (95),8.2 (99)
Kawhi Leonard,5.7 (99),-2.5 (98),8.2 (99)
Stephen Curry,6.7 (99),-0.9 (84),7.6 (99)
Chris Paul,4.9 (98),-2.7 (98),7.6 (99)
Kevin Durant,5.4 (98),-1.7 (93),7.1 (98)
Draymond Green,1.6 (91),-5.2 (99),6.8 (98)
Nikola Joki?,4.2 (98),-1.8 (93),6.0 (98)
James Harden,5.5 (98),-0.2 (68),5.7 (98)
Jimmy Butler,3.2 (97),-2.4 (97),5.6 (98)
Kyle Lowry,3.9 (97),-1.6 (91),5.5 (97)
Russell Westbrook,5.9 (99),0.9 (36),5.0 (97)
Rudy Gobert,0.6 (83),-4.2 (99),4.8 (97)
Mike Conley,3.6 (97),-1.0 (86),4.6 (97)
Jae Crowder,2.2 (94),-2.0 (95),4.2 (97)
Paul Millsap,1.3 (89),-2.7 (99),4.0 (96)
Anthony Davis,1.3 (89),-2.6 (98),3.9 (96)
Ricky Rubio,1.5 (90),-2.4 (97),3.9 (96)
Paul George,2.6 (95),-1.1 (87),3.7 (96)
DeAndre Jordan,2.0 (93),-1.7 (92),3.7 (96)
Gordon Hayward,2.9 (96),-0.8 (81),3.7 (95)
George Hill,2.0 (93),-1.6 (92),3.6 (95)
Khris Middleton,1.8 (91),-1.7 (92),3.5 (95)
Kevin Love,2.1 (94),-1.3 (89),3.4 (95)
Danilo Gallinari,2.8 (95),-0.6 (78),3.4 (95)
Robert Covington,0.4 (80),-3.0 (99),3.4 (94)
Damian Lillard,4.0 (97),0.9 (37),3.1 (94)
Cody Zeller,0.8 (85),-2.3 (96),3.1 (94)
John Wall,2.4 (95),-0.7 (80),3.1 (94)
DeMarcus Cousins,1.9 (92),-0.9 (83),2.8 (94)
Kristaps Porzi??is,0.9 (87),-1.8 (94),2.7 (93)
CJ McCollum,2.7 (95),-0.0 (64),2.7 (93)
Giannis Antetokounmpo,1.9 (92),-0.8 (82),2.7 (93)
Eric Bledsoe,2.1 (94),-0.6 (77),2.7 (93)
Otto Porter Jr.,2.0 (93),-0.6 (77),2.6 (93)
Manu Ginobili,0.2 (77),-2.3 (96),2.5 (92)
Kemba Walker,2.9 (96),0.4 (53),2.5 (92)
Rudy Gay,1.5 (90),-1.0 (86),2.5 (92)
Danny Green,0.3 (78),-2.0 (94),2.3 (92)
Isaiah Thomas,4.7 (98),2.5 (2),2.2 (91)
Kentavious Caldwell-Pope,1.2 (89),-1.0 (86),2.2 (91)
Andre Iguodala,0.5 (82),-1.6 (91),2.1 (91)
Al-Farouq Aminu,-0.4 (68),-2.4 (98),2.0 (91)
Patty Mills,1.8 (91),-0.2 (69),2.0 (91)
Goran Dragic,1.9 (93),-0.1 (68),2.0 (90)
Klay Thompson,2.6 (95),0.7 (45),1.9 (90)
Victor Oladipo,0.7 (83),-1.2 (88),1.9 (90)
Bradley Beal,2.9 (96),1.0 (33),1.9 (90)
Blake Griffin,1.9 (92),0.0 (62),1.9 (90)
Dirk Nowitzki,1.7 (91),-0.1 (67),1.8 (89)
Malcolm Brogdon,1.2 (89),-0.6 (78),1.8 (89)
Patrick Patterson,1.1 (88),-0.6 (78),1.7 (89)
Patrick Beverley,0.8 (84),-0.9 (83),1.7 (89)
Jrue Holiday,0.5 (80),-1.2 (87),1.7 (89)
Hassan Whiteside,0.9 (87),-0.7 (80),1.6 (88)
Michael Kidd-Gilchrist,-0.8 (58),-2.4 (97),1.6 (88)
Kyle Anderson,-0.3 (71),-1.8 (94),1.5 (88)
Karl-Anthony Towns,3.1 (96),1.6 (17),1.5 (88)
Markieff Morris,-0.1 (74),-1.6 (91),1.5 (88)
Zaza Pachulia,-0.8 (59),-2.3 (96),1.5 (87)
Wesley Matthews,0.6 (82),-0.8 (82),1.4 (87)
Brook Lopez,0.6 (82),-0.8 (82),1.4 (87)
Al Horford,0.5 (81),-0.9 (84),1.4 (87)
DeMar DeRozan,2.0 (93),0.6 (47),1.4 (87)
Marc Gasol,0.5 (81),-0.9 (83),1.4 (86)
Nikola Mirotic,1.0 (87),-0.4 (72),1.4 (86)
Carmelo Anthony,3.0 (96),1.7 (15),1.3 (86)
Ryan Anderson,2.1 (94),0.9 (35),1.2 (86)
Ian Mahinmi,-1.4 (42),-2.6 (98),1.2 (86)
Tyson Chandler,0.2 (77),-1.0 (85),1.2 (85)
Tony Allen,-1.1 (52),-2.3 (96),1.2 (85)
Pau Gasol,0.4 (80),-0.7 (80),1.1 (85)
Seth Curry,0.9 (86),-0.2 (69),1.1 (85)
Steven Adams,-0.7 (60),-1.8 (93),1.1 (84)
Tristan Thompson,-0.3 (71),-1.4 (90),1.1 (84)
Jeff Teague,1.4 (90),0.3 (55),1.1 (84)
Andre Roberson,-1.3 (46),-2.4 (97),1.1 (84)
Thabo Sefolosha,-1.2 (48),-2.2 (95),1.0 (84)
Kyrie Irving,3.5 (97),2.5 (2),1.0 (83)
Andre Drummond,0.2 (77),-0.8 (82),1.0 (83)
Jared Dudley,-0.7 (60),-1.7 (93),1.0 (83)
Luol Deng,-0.3 (69),-1.3 (88),1.0 (83)
Nene,-1.4 (43),-2.4 (97),1.0 (83)
Larry Nance Jr.,-0.7 (60),-1.7 (92),1.0 (82)
Tony Snell,-0.1 (73),-1.1 (86),1.0 (82)
Jeremy Lin,0.5 (81),-0.4 (73),0.9 (82)
Nicolas Batum,0.8 (85),-0.1 (66),0.9 (82)
Gorgui Dieng,-0.7 (61),-1.5 (90),0.8 (82)
Trevor Ariza,0.2 (77),-0.6 (77),0.8 (81)
Eric Gordon,0.8 (84),-0.0 (62),0.8 (81)
Clint Capela,0.3 (78),-0.5 (75),0.8 (81)
Jeremy Lamb,0.7 (83),-0.1 (66),0.8 (81)
Marcus Smart,-0.4 (67),-1.2 (87),0.8 (81)
Lou Williams,2.3 (94),1.5 (22),0.8 (80)
Luc Mbah a Moute,-1.4 (43),-2.1 (95),0.7 (80)
Amir Johnson,-1.2 (50),-1.9 (94),0.7 (80)
Lucas Nogueira,-0.5 (64),-1.2 (87),0.7 (80)
LaMarcus Aldridge,-0.3 (70),-0.9 (84),0.6 (80)
Derrick Favors,-0.5 (65),-1.1 (86),0.6 (79)
Myles Turner,-0.6 (63),-1.2 (88),0.6 (79)
Darren Collison,1.2 (89),0.6 (45),0.6 (79)
James Johnson,-0.6 (64),-1.1 (87),0.5 (79)
Aaron Gordon,1.0 (88),0.5 (51),0.5 (79)
Marcus Morris Sr.,-0.0 (75),-0.5 (75),0.5 (78)
DeMarre Carroll,-0.0 (74),-0.5 (75),0.5 (78)
Kelly Olynyk,-0.3 (68),-0.8 (81),0.5 (78)
Solomon Hill,-0.2 (72),-0.7 (80),0.5 (78)
Rodney Hood,1.3 (90),0.9 (37),0.4 (77)
Mason Plumlee,0.9 (87),0.5 (51),0.4 (77)
Elfrid Payton,1.0 (88),0.6 (47),0.4 (77)
Tobias Harris,0.5 (81),0.1 (61),0.4 (77)
Marvin Williams,-0.0 (74),-0.4 (73),0.4 (77)
Tim Hardaway Jr.,1.0 (87),0.6 (46),0.4 (76)
Jared Sullinger,-0.6 (62),-1.0 (84),0.4 (76)
Thaddeus Young,-0.3 (70),-0.7 (80),0.4 (76)
Tyler Johnson,-0.5 (66),-0.8 (82),0.3 (76)
Rondae Hollis-Jefferson,-1.3 (47),-1.6 (91),0.3 (76)
Greg Monroe,0.9 (86),0.6 (47),0.3 (75)
Vince Carter,0.4 (80),0.1 (60),0.3 (75)
JJ Redick,0.8 (84),0.5 (49),0.3 (75)
Joe Johnson,0.6 (83),0.3 (56),0.3 (75)
Jerian Grant,-0.4 (67),-0.7 (79),0.3 (75)
Dewayne Dedmon,-1.6 (40),-1.9 (94),0.3 (74)
Darrell Arthur,-1.1 (51),-1.4 (89),0.3 (74)
David West,-1.4 (44),-1.6 (91),0.2 (74)
Serge Ibaka,-0.3 (70),-0.5 (76),0.2 (74)
Avery Bradley,1.0 (88),0.8 (40),0.2 (74)
Norman Powell,0.6 (82),0.4 (53),0.2 (73)
Jusuf Nurki?,-1.6 (39),-1.8 (93),0.2 (73)
Joel Embiid,-1.2 (49),-1.4 (90),0.2 (73)
Gary Harris,1.9 (92),1.7 (13),0.2 (73)
Raul Neto,-0.9 (56),-1.0 (85),0.1 (73)
Maurice Harkless,0.0 (75),-0.0 (64),0.0 (72)
Joe Ingles,-0.0 (75),0.0 (64),-0.0 (72)
Jonathon Simmons,-1.3 (47),-1.3 (89),0.0 (72)
JaVale McGee,0.2 (77),0.2 (58),0.0 (72)
Dion Waiters,-0.2 (73),-0.2 (69),0.0 (72)
Andrew Wiggins,1.4 (90),1.4 (24),0.0 (71)
Tarik Black,-1.3 (45),-1.3 (88),0.0 (71)
Marcin Gortat,-0.5 (65),-0.5 (75),0.0 (71)
Josh Richardson,-0.4 (66),-0.4 (71),0.0 (71)
Nerlens Noel,-0.5 (64),-0.5 (74),0.0 (70)
Wesley Johnson,-1.7 (35),-1.6 (90),-0.1 (70)
Nikola Vu?evi?,-0.7 (61),-0.6 (79),-0.1 (70)
Nemanja Bjelica,-0.9 (56),-0.8 (81),-0.1 (70)
Nick Young,0.8 (84),0.9 (35),-0.1 (70)
Devin Harris,-0.6 (62),-0.5 (74),-0.1 (69)
Wayne Ellington,-0.1 (73),0.0 (61),-0.1 (69)
Mirza Teletovic,0.3 (79),0.4 (53),-0.1 (69)
Iman Shumpert,-0.8 (59),-0.7 (81),-0.1 (69)
Justise Winslow,-1.5 (41),-1.4 (90),-0.1 (69)
CJ Miles,0.5 (82),0.7 (44),-0.2 (68)
Langston Galloway,-0.6 (62),-0.4 (72),-0.2 (68)
Deron Williams,-0.2 (73),-0.0 (63),-0.2 (68)
Chandler Parsons,0.2 (76),0.4 (52),-0.2 (68)
Anthony Tolliver,0.4 (79),0.7 (44),-0.3 (68)
Kenneth Faried,0.8 (85),1.2 (27),-0.4 (67)
JR Smith,0.2 (78),0.6 (48),-0.4 (67)
Ersan Ilyasova,0.0 (74),0.4 (53),-0.4 (67)
Dwight Howard,-0.9 (56),-0.5 (74),-0.4 (67)
Channing Frye,0.7 (84),1.1 (31),-0.4 (67)
Salah Mejri,-1.8 (33),-1.4 (89),-0.4 (66)
Rodney McGruder,-0.6 (64),-0.1 (67),-0.5 (66)
Jonas Jerebko,-0.6 (63),-0.1 (67),-0.5 (66)
Cory Joseph,-0.6 (63),-0.1 (66),-0.5 (66)
Jason Terry,-0.9 (57),-0.4 (73),-0.5 (66)
Dennis Schr?der,0.5 (81),1.0 (33),-0.5 (65)
Terrence Ross,0.9 (86),1.5 (23),-0.6 (65)
Wilson Chandler,0.9 (86),1.5 (22),-0.6 (65)
Kyle Korver,-0.1 (74),0.5 (50),-0.6 (65)
Evan Fournier,0.3 (79),0.9 (37),-0.6 (65)
Ish Smith,-0.2 (73),0.4 (54),-0.6 (64)
P.J. Tucker,-1.6 (38),-1.0 (85),-0.6 (64)
Robin Lopez,-1.6 (38),-1.0 (85),-0.6 (64)
Dwyane Wade,0.3 (78),0.9 (35),-0.6 (64)
Anthony Morrow,-0.4 (67),0.2 (57),-0.6 (63)
Tyreke Evans,0.2 (76),0.8 (38),-0.6 (63)
Matthew Dellavedova,-0.5 (66),0.2 (58),-0.7 (63)
Reggie Jackson,0.7 (83),1.4 (23),-0.7 (63)
Courtney Lee,0.1 (76),0.8 (41),-0.7 (63)
Jon Leuer,-1.3 (47),-0.6 (79),-0.7 (62)
Montrezl Harrell,0.1 (76),0.8 (39),-0.7 (62)
Enes Freedom,1.6 (91),2.4 (3),-0.8 (62)
Willie Reed,-1.2 (50),-0.4 (74),-0.8 (62)
Trevor Booker,-1.7 (36),-0.9 (84),-0.8 (62)
Luke Babbitt,0.0 (75),0.8 (41),-0.8 (61)
James Ennis III,-0.9 (57),-0.1 (66),-0.8 (61)
Will Barton,-0.2 (72),0.6 (46),-0.8 (61)
Frank Kaminsky,-0.3 (69),0.5 (49),-0.8 (61)
Jabari Parker,1.0 (88),1.9 (10),-0.9 (61)
Taurean Prince,-2.9 (13),-2.0 (95),-0.9 (60)
Cristiano Felicio,-1.4 (43),-0.5 (74),-0.9 (60)
Beno Udrih,-1.0 (55),-0.1 (66),-0.9 (60)
