team,year,wins,losses,total_games,win_pct
Atlanta Hawks,2015,60,22,82,0.7317073170731707
Golden State Warriors,2015,67,15,82,0.8170731707317073
Cleveland Cavaliers,2015,53,29,82,0.6463414634146342
Houston Rockets,2015,56,26,82,0.6829268292682927
Chicago Bulls,2015,50,32,82,0.6097560975609756
Los Angeles Clippers,2015,56,26,82,0.6829268292682927
Portland Trail Blazers,2015,51,31,82,0.6219512195121951
Toronto Raptors,2015,49,33,82,0.5975609756097561
Memphis Grizzlies,2015,55,27,82,0.6707317073170732
Washington Wizards,2015,46,36,82,0.5609756097560976
Milwaukee Bucks,2015,41,41,82,0.5
San Antonio Spurs,2015,55,27,82,0.6707317073170732
Boston Celtics,2015,40,42,82,0.4878048780487805
Dallas Mavericks,2015,50,32,82,0.6097560975609756
New Orleans Pelicans,2015,45,37,82,0.5487804878048781
Brooklyn Nets,2015,38,44,82,0.4634146341463415
Indiana Pacers,2015,38,44,82,0.4634146341463415
Oklahoma City Thunder,2015,45,37,82,0.5487804878048781
Miami Heat,2015,37,45,82,0.45121951219512196
Phoenix Suns,2015,39,43,82,0.47560975609756095
Utah Jazz,2015,38,44,82,0.4634146341463415
Charlotte Hornets,2015,33,49,82,0.4024390243902439
Denver Nuggets,2015,30,52,82,0.36585365853658536
Detroit Pistons,2015,32,50,82,0.3902439024390244
Orlando Magic,2015,25,57,82,0.3048780487804878
Sacramento Kings,2015,29,53,82,0.35365853658536583
Los Angeles Lakers,2015,21,61,82,0.25609756097560976
Philadelphia 76ers,2015,18,64,82,0.21951219512195122
Minnesota Timberwolves,2015,16,66,82,0.1951219512195122
New York Knicks,2015,17,65,82,0.2073170731707317
Cleveland Cavaliers,2016,57,25,82,0.6951219512195121
Golden State Warriors,2016,73,9,82,0.8902439024390244
San Antonio Spurs,2016,67,15,82,0.8170731707317073
Toronto Raptors,2016,56,26,82,0.6829268292682927
Oklahoma City Thunder,2016,55,27,82,0.6707317073170732
Miami Heat,2016,48,34,82,0.5853658536585366
Los Angeles Clippers,2016,53,29,82,0.6463414634146342
Atlanta Hawks,2016,48,34,82,0.5853658536585366
Boston Celtics,2016,48,34,82,0.5853658536585366
Portland Trail Blazers,2016,44,38,82,0.5365853658536586
Dallas Mavericks,2016,42,40,82,0.5121951219512195
Charlotte Hornets,2016,48,34,82,0.5853658536585366
Indiana Pacers,2016,45,37,82,0.5487804878048781
Memphis Grizzlies,2016,42,40,82,0.5121951219512195
Houston Rockets,2016,41,41,82,0.5
Detroit Pistons,2016,44,38,82,0.5365853658536586
Chicago Bulls,2016,42,40,82,0.5121951219512195
Utah Jazz,2016,40,42,82,0.4878048780487805
Washington Wizards,2016,41,41,82,0.5
Sacramento Kings,2016,33,49,82,0.4024390243902439
Denver Nuggets,2016,33,49,82,0.4024390243902439
Orlando Magic,2016,35,47,82,0.4268292682926829
Milwaukee Bucks,2016,33,49,82,0.4024390243902439
New Orleans Pelicans,2016,30,52,82,0.36585365853658536
Minnesota Timberwolves,2016,29,53,82,0.35365853658536583
New York Knicks,2016,32,50,82,0.3902439024390244
Brooklyn Nets,2016,21,61,82,0.25609756097560976
Phoenix Suns,2016,23,59,82,0.2804878048780488
Los Angeles Lakers,2016,17,65,82,0.2073170731707317
Philadelphia 76ers,2016,10,72,82,0.12195121951219512
Golden State Warriors,2017,67,15,82,0.8170731707317073
Boston Celtics,2017,53,29,82,0.6463414634146342
