Player,Team,Minutes,year
AJ Price,CLE,323.49,2015
Aaron Brooks,CHI,1884.6133333333332,2015
Aaron Gordon,ORL,796.925,2015
Adreian Payne,MIN,739.6383333333333,2015
Al Horford,ATL,2318.1666666666665,2015
Al Jefferson,CHA,1991.7733333333333,2015
Al-Farouq Aminu,DAL,1365.7883333333334,2015
Alan Anderson,BKN,1744.2983333333334,2015
Alec Burks,UTA,899.0716666666667,2015
Alex Kirk,CLE,13.985,2015
Alex Len,PHX,1518.0,2015
Alexey Shved,NYK,767.24,2015
Alexis Ajinca,NOP,956.5366666666666,2015
Allen Crabbe,POR,682.9983333333333,2015
Alonzo Gee,POR,661.4866666666667,2015
Amar'e Stoudemire,DAL,1244.375,2015
Amir Johnson,TOR,1978.75,2015
Anderson Varejao,CLE,635.6016666666667,2015
Andre Dawkins,MIA,21.678333333333335,2015
Andre Drummond,DET,2501.858333333333,2015
Andre Iguodala,GSW,2068.5933333333332,2015
Andre Miller,SAC,1253.2716666666668,2015
Andre Roberson,OKC,1286.1133333333332,2015
Andrea Bargnani,NYK,785.3416666666667,2015
Andrei Kirilenko,BKN,36.39666666666667,2015
Andrew Bogut,GSW,1582.5333333333333,2015
Andrew Nicholson,ORL,492.0966666666667,2015
Andrew Wiggins,MIN,2968.7966666666666,2015
Anthony Bennett,MIN,893.825,2015
Anthony Davis,NOP,2454.695,2015
Anthony Morrow,OKC,1805.6133333333332,2015
Anthony Tolliver,DET,1432.785,2015
Archie Goodwin,PHX,534.8316666666667,2015
Arinze Onuaku,MIN,68.25833333333334,2015
Aron Baynes,SAS,1122.34,2015
Arron Afflalo,POR,2501.548333333333,2015
Austin Daye,ATL,343.99333333333334,2015
Austin Rivers,LAC,1562.99,2015
Avery Bradley,BOS,2427.5466666666666,2015
Ben Gordon,ORL,790.3716666666667,2015
Ben McLemore,SAC,2670.105,2015
Beno Udrih,MEM,1494.4666666666667,2015
Bernard James,DAL,157.65333333333334,2015
Bismack Biyombo,CHA,1243.1016666666667,2015
Blake Griffin,LAC,2355.7883333333334,2015
Bojan Bogdanovic,BKN,1853.8583333333333,2015
Boris Diaw,SAS,1984.3,2015
Bradley Beal,WAS,2107.4366666666665,2015
Brandan Wright,PHX,1448.5733333333333,2015
Brandon Bass,BOS,1928.67,2015
Brandon Davies,PHI,422.845,2015
Brandon Jennings,DET,1172.8066666666666,2015
Brandon Knight,PHX,2035.1916666666666,2015
Brandon Rush,GSW,271.06333333333333,2015
Brendan Haywood,CLE,119.03,2015
Brian Roberts,CHA,1329.9366666666667,2015
Brook Lopez,BKN,2100.275,2015
Bruno Caboclo,TOR,23.416666666666668,2015
Bryce Cotton,UTA,159.38666666666666,2015
C.J. Watson,IND,1421.9516666666666,2015
C.J. Wilcox,LAC,100.56666666666666,2015
CJ McCollum,POR,973.0983333333334,2015
CJ Miles,IND,1841.0616666666667,2015
Cameron Bairstow,CHI,63.531666666666666,2015
Carl Landry,SAC,1191.7133333333334,2015
Carlos Boozer,LAL,1691.71,2015
Carmelo Anthony,NYK,1427.625,2015
Caron Butler,DET,1623.4583333333333,2015
Cartier Martin,DET,198.20666666666668,2015
Chandler Parsons,DAL,2186.175,2015
Channing Frye,ORL,1869.7166666666667,2015
Charlie Villanueva,DAL,678.1,2015
Chase Budinger,MIN,1285.88,2015
Chris Andersen,MIA,1131.71,2015
Chris Bosh,MIA,1555.965,2015
Chris Copeland,IND,827.485,2015
Chris Douglas-Roberts,LAC,102.53833333333333,2015
Chris Johnson,UTA,526.765,2015
Chris Kaman,POR,1398.1716666666666,2015
Chris Paul,LAC,2857.2433333333333,2015
Chuck Hayes,TOR,255.35166666666666,2015
Cleanthony Early,NYK,647.045,2015
Clint Capela,HOU,89.63833333333334,2015
Cody Zeller,CHA,1486.685,2015
Cole Aldrich,NYK,976.2983333333333,2015
Corey Brewer,HOU,2087.385,2015
Cory Jefferson,BKN,531.1583333333333,2015
Cory Joseph,SAS,1443.6883333333333,2015
Courtney Lee,MEM,2354.4266666666667,2015
D.J. Augustin,OKC,1963.785,2015
Dahntay Jones,LAC,123.33,2015
Damian Lillard,POR,2924.565,2015
Damjan Rudez,IND,1047.395,2015
Danilo Gallinari,DEN,1425.8316666666667,2015
Danny Granger,PHX,612.7416666666667,2015
Danny Green,SAS,2311.4883333333332,2015
Dante Cunningham,NOP,1652.185,2015
Danté Exum,UTA,1817.05,2015
Darius Miller,NOP,43.36666666666667,2015
Darius Morris,BKN,299.22833333333335,2015
Darrell Arthur,DEN,987.855,2015
Darren Collison,SAC,1564.7233333333334,2015
David Lee,GSW,904.3733333333333,2015
David Stockton,SAC,33.083333333333336,2015
David Wear,SAC,6.966666666666667,2015
David West,IND,1895.31,2015
DeAndre Jordan,LAC,2820.0416666666665,2015
DeJuan Blair,WAS,180.36833333333334,2015
DeMar DeRozan,TOR,2100.2716666666665,2015
DeMarcus Cousins,SAC,2013.1816666666666,2015
DeMarre Carroll,ATL,2188.548333333333,2015
Dennis Schröder,ATL,1516.0566666666666,2015
Deron Williams,BKN,2114.036666666667,2015
Derrick Favors,UTA,2279.61,2015
Derrick Rose,CHI,1529.8816666666667,2015
Derrick Williams,SAC,1461.67,2015
Devin Harris,DAL,1685.15,2015
Devyn Marble,ORL,208.16166666666666,2015
Dewayne Dedmon,ORL,845.0616666666666,2015
Dion Waiters,OKC,2208.05,2015
Dirk Nowitzki,DAL,2281.625,2015
Donald Sloan,IND,1106.74,2015
Donatas Motiejunas,HOU,2036.9683333333332,2015
Dorell Wright,POR,592.4866666666667,2015
Doug McDermott,CHI,320.8333333333333,2015
Draymond Green,GSW,2489.991666666667,2015
Drew Gooden,WAS,863.73,2015
Drew Gordon,PHI,71.185,2015
Dwight Buycks,LAL,122.72833333333334,2015
Dwight Howard,HOU,1222.7733333333333,2015
Dwight Powell,DAL,236.35166666666666,2015
Dwyane Wade,MIA,1970.8766666666668,2015
E'Twaun Moore,CHI,504.28833333333336,2015
Earl Barron,PHX,142.83833333333334,2015
Earl Clark,BKN,93.11666666666666,2015
Ed Davis,LAL,1840.0333333333333,2015
Ekpe Udoh,LAC,128.45,2015
Elfrid Payton,ORL,2488.6666666666665,2015
Elijah Millsap,UTA,923.5983333333334,2015
Elliot Williams,PHI,118.755,2015
Elton Brand,ATL,485.67333333333335,2015
Enes Freedom,OKC,2135.64,2015
Eric Bledsoe,PHX,2799.5733333333333,2015
Eric Gordon,NOP,2018.1116666666667,2015
Eric Moreland,SAC,2.078333333333333,2015
Erick Green,DEN,409.8883333333333,2015
Ersan Ilyasova,MIL,1319.0066666666667,2015
Evan Fournier,ORL,1661.16,2015
Evan Turner,BOS,2259.7166666666667,2015
Festus Ezeli,GSW,503.625,2015
Francisco Garcia,HOU,200.40166666666667,2015
Furkan Aldemir,PHI,540.4933333333333,2015
Gal Mekel,DAL,43.48166666666667,2015
Garrett Temple,WAS,735.48,2015
Gary Harris,DEN,718.955,2015
Gary Neal,MIN,1192.3266666666666,2015
George Hill,IND,1267.1283333333333,2015
Gerald Green,PHX,1446.1833333333334,2015
Gerald Henderson,CHA,2315.055,2015
Gerald Wallace,BOS,286.1483333333333,2015
Giannis Antetokounmpo,MIL,2540.59,2015
Gigi Datome,BOS,209.21833333333333,2015
Glen Davis,LAC,904.0383333333333,2015
Glen Rice,WAS,42.60333333333333,2015
Glenn Robinson III,PHI,260.77166666666665,2015
Goran Dragic,MIA,2640.0233333333335,2015
Gordon Hayward,UTA,2617.51,2015
Gorgui Dieng,MIN,2193.028333333333,2015
Grant Jerrett,UTA,50.931666666666665,2015
Greg Monroe,DET,2137.1966666666667,2015
Greg Smith,DAL,362.805,2015
Greg Stiemsma,TOR,65.60166666666667,2015
Greivis Vasquez,TOR,1990.645,2015
Harrison Barnes,GSW,2318.3316666666665,2015
Hassan Whiteside,MIA,1142.2066666666667,2015
Hedo Turkoglu,LAC,704.6083333333333,2015
Henry Sims,PHI,1398.6116666666667,2015
Henry Walker,MIA,627.5483333333333,2015
Hollis Thompson,PHI,1775.97,2015
Ian Clark,DEN,192.19166666666666,2015
Ian Mahinmi,IND,1145.8516666666667,2015
Iman Shumpert,CLE,1544.63,2015
Isaiah Canaan,PHI,937.955,2015
Isaiah Thomas,BOS,1726.055,2015
Ish Smith,PHI,831.4566666666667,2015
J.J. Barea,DAL,1361.685,2015
JJ Hickson,DEN,1411.2733333333333,2015
JJ Redick,LAC,2409.0783333333334,2015
JR Smith,CLE,2079.4566666666665,2015
JaKarr Sampson,PHI,1131.1833333333334,2015
JaMychal Green,MEM,163.93,2015
JaVale McGee,DEN,256.02166666666665,2015
Jabari Brown,LAL,568.3616666666667,2015
Jabari Parker,MIL,738.435,2015
Jack Cooley,UTA,87.145,2015
Jae Crowder,BOS,1646.6283333333333,2015
Jamaal Franklin,DEN,13.178333333333333,2015
Jamal Crawford,LAC,1703.0366666666666,2015
Jameer Nelson,DEN,1406.015,2015
James Ennis III,MIA,1051.41,2015
James Harden,HOU,2980.865,2015
James Johnson,TOR,1369.9533333333334,2015
James Jones,CLE,669.3716666666667,2015
James Michael McAdoo,GSW,137.17,2015
James Young,BOS,332.075,2015
