Player,year,Team,RAPM,time
Chris Paul,2015,LAC,8.1,2857.2433333333333
LeBron James,2015,CLE,7.8,2493.4216666666666
Stephen Curry,2015,GSW,7.2,2613.2
Kawhi Leonard,2015,SAS,6.1,2032.9
Kevin Durant,2015,OKC,5.9,912.615
James Harden,2015,HOU,5.6,2980.865
Draymond Green,2015,GSW,5.5,2489.991666666667
Anthony Davis,2015,NOP,5.1,2454.695
Ricky Rubio,2015,MIN,5.0,692.1266666666667
Russell Westbrook,2015,OKC,4.9,2301.8233333333333
George Hill,2015,IND,4.3,1267.128333333333
Manu Ginobili,2015,SAS,4.1,1586.868333333333
John Wall,2015,WAS,4.0,2836.5333333333333
Jrue Holiday,2015,NOP,3.9,1303.003333333333
Kyle Lowry,2015,TOR,3.8,2414.4
Paul George,2015,IND,3.8,90.91666666666669
Dirk Nowitzki,2015,DAL,3.7,2281.625
Danny Green,2015,SAS,3.7,2311.488333333333
Dwight Howard,2015,HOU,3.7,1222.7733333333333
Kevin Love,2015,CLE,3.7,2531.765
Kyle Korver,2015,ATL,3.6,2417.7816666666668
Andre Iguodala,2015,GSW,3.6,2068.593333333333
Eric Bledsoe,2015,PHX,3.4,2799.5733333333333
DeAndre Jordan,2015,LAC,3.2,2820.0416666666665
Gordon Hayward,2015,UTA,3.1,2617.51
Klay Thompson,2015,GSW,3.0,2454.59
Tim Duncan,2015,SAS,2.9,2226.8016666666667
Khris Middleton,2015,MIL,2.9,2378.1183333333333
Deron Williams,2015,BKN,2.9,2114.036666666667
Iman Shumpert,2015,CLE,2.9,1544.63
Tyson Chandler,2015,DAL,2.8,2285.84
Mike Conley,2015,MEM,2.8,2224.985
Paul Millsap,2015,ATL,2.7,2389.5333333333333
Tony Allen,2015,MEM,2.7,1647.6983333333333
Damian Lillard,2015,POR,2.7,2924.565
Wesley Matthews,2015,POR,2.7,2024.1716666666664
Ty Lawson,2015,DEN,2.6,2665.411666666667
LaMarcus Aldridge,2015,POR,2.6,2511.588333333333
Monta Ellis,2015,DAL,2.4,2699.245
Michael Kidd-Gilchrist,2015,CHA,2.4,1587.37
DeMarre Carroll,2015,ATL,2.4,2188.548333333333
Mike Dunleavy,2015,CHI,2.4,1837.7966666666664
Rudy Gobert,2015,UTA,2.4,2158.425
DeMarcus Cousins,2015,SAC,2.4,2013.1816666666664
